GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,"Households; Estimate; Less than $10,000","Households; Margin of Error; Less than $10,000","Families; Estimate; Less than $10,000","Families; Margin of Error; Less than $10,000","Married-couple families; Estimate; Less than $10,000","Married-couple families; Margin of Error; Less than $10,000","Nonfamily households; Estimate; Less than $10,000","Nonfamily households; Margin of Error; Less than $10,000","Households; Estimate; $10,000 to $14,999","Households; Margin of Error; $10,000 to $14,999","Families; Estimate; $10,000 to $14,999","Families; Margin of Error; $10,000 to $14,999","Married-couple families; Estimate; $10,000 to $14,999","Married-couple families; Margin of Error; $10,000 to $14,999","Nonfamily households; Estimate; $10,000 to $14,999","Nonfamily households; Margin of Error; $10,000 to $14,999","Households; Estimate; $15,000 to $24,999","Households; Margin of Error; $15,000 to $24,999","Families; Estimate; $15,000 to $24,999","Families; Margin of Error; $15,000 to $24,999","Married-couple families; Estimate; $15,000 to $24,999","Married-couple families; Margin of Error; $15,000 to $24,999","Nonfamily households; Estimate; $15,000 to $24,999","Nonfamily households; Margin of Error; $15,000 to $24,999","Households; Estimate; $25,000 to $34,999","Households; Margin of Error; $25,000 to $34,999","Families; Estimate; $25,000 to $34,999","Families; Margin of Error; $25,000 to $34,999","Married-couple families; Estimate; $25,000 to $34,999","Married-couple families; Margin of Error; $25,000 to $34,999","Nonfamily households; Estimate; $25,000 to $34,999","Nonfamily households; Margin of Error; $25,000 to $34,999","Households; Estimate; $35,000 to $49,999","Households; Margin of Error; $35,000 to $49,999","Families; Estimate; $35,000 to $49,999","Families; Margin of Error; $35,000 to $49,999","Married-couple families; Estimate; $35,000 to $49,999","Married-couple families; Margin of Error; $35,000 to $49,999","Nonfamily households; Estimate; $35,000 to $49,999","Nonfamily households; Margin of Error; $35,000 to $49,999","Households; Estimate; $50,000 to $74,999","Households; Margin of Error; $50,000 to $74,999","Families; Estimate; $50,000 to $74,999","Families; Margin of Error; $50,000 to $74,999","Married-couple families; Estimate; $50,000 to $74,999","Married-couple families; Margin of Error; $50,000 to $74,999","Nonfamily households; Estimate; $50,000 to $74,999","Nonfamily households; Margin of Error; $50,000 to $74,999","Households; Estimate; $75,000 to $99,999","Households; Margin of Error; $75,000 to $99,999","Families; Estimate; $75,000 to $99,999","Families; Margin of Error; $75,000 to $99,999","Married-couple families; Estimate; $75,000 to $99,999","Married-couple families; Margin of Error; $75,000 to $99,999","Nonfamily households; Estimate; $75,000 to $99,999","Nonfamily households; Margin of Error; $75,000 to $99,999","Households; Estimate; $100,000 to $149,999","Households; Margin of Error; $100,000 to $149,999","Families; Estimate; $100,000 to $149,999","Families; Margin of Error; $100,000 to $149,999","Married-couple families; Estimate; $100,000 to $149,999","Married-couple families; Margin of Error; $100,000 to $149,999","Nonfamily households; Estimate; $100,000 to $149,999","Nonfamily households; Margin of Error; $100,000 to $149,999","Households; Estimate; $150,000 to $199,999","Households; Margin of Error; $150,000 to $199,999","Families; Estimate; $150,000 to $199,999","Families; Margin of Error; $150,000 to $199,999","Married-couple families; Estimate; $150,000 to $199,999","Married-couple families; Margin of Error; $150,000 to $199,999","Nonfamily households; Estimate; $150,000 to $199,999","Nonfamily households; Margin of Error; $150,000 to $199,999","Households; Estimate; $200,000 or more","Households; Margin of Error; $200,000 or more","Families; Estimate; $200,000 or more","Families; Margin of Error; $200,000 or more","Married-couple families; Estimate; $200,000 or more","Married-couple families; Margin of Error; $200,000 or more","Nonfamily households; Estimate; $200,000 or more","Nonfamily households; Margin of Error; $200,000 or more",Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
0400000US01,01,Alabama,1846390,11341,1213540,13821,863674,10996,632850,11633,9.5,0.3,5.9,0.3,2.0,0.2,17.5,0.8,6.9,0.3,3.9,0.3,1.7,0.2,13.0,0.6,12.7,0.4,9.7,0.5,5.8,0.4,19.1,0.8,11.3,0.4,10.2,0.4,8.5,0.4,13.2,0.7,13.8,0.4,13.5,0.5,12.8,0.5,14.2,0.7,17.8,0.4,20.2,0.5,22.5,0.6,12.8,0.8,10.7,0.5,13.5,0.6,16.5,0.7,5.1,0.5,10.5,0.4,14.0,0.5,17.9,0.7,3.3,0.4,3.6,0.2,5.0,0.3,6.6,0.4,0.9,0.2,3.1,0.2,4.3,0.3,5.8,0.4,0.9,0.2,44765,744,57160,798,70890,923,25214,539,62307,811,74779,1084,89518,1359,36681,937,37.5,,,,,,,,,,38.3,,,,,,,,,,,,34.7,
0400000US02,02,Alaska,250185,2685,163800,3113,120348,2954,86385,3614,3.9,0.6,2.5,0.5,0.4,0.2,7.8,1.3,3.2,0.5,1.5,0.4,0.5,0.2,6.7,1.2,6.8,0.8,4.9,0.8,2.2,0.5,11.3,1.6,7.6,0.8,6.4,0.8,3.9,0.7,10.3,1.3,11.8,0.9,10.2,0.9,7.9,1.1,15.6,1.9,17.7,1.2,17.7,1.4,17.4,1.4,17.9,2.1,15.0,1.2,14.8,1.3,16.5,1.5,14.3,2.1,18.8,1.2,22.6,1.6,27.0,1.9,11.0,1.7,8.5,0.7,10.7,0.9,13.6,1.3,2.7,0.7,6.7,0.7,8.6,1.0,10.6,1.2,2.5,0.8,73355,2316,86376,3414,101196,2111,46933,4007,92876,2964,105426,3448,120650,3446,63653,4608,32.8,,,,,,,,,,33.3,,,,,,,,,,,,28.8,
0400000US04,04,Arizona,2463008,12455,1598414,13914,1153542,12996,864594,12728,7.6,0.3,5.1,0.3,2.1,0.2,13.6,0.7,4.8,0.2,3.1,0.2,1.8,0.2,8.2,0.4,10.8,0.3,7.9,0.3,5.3,0.3,16.8,0.7,10.7,0.3,9.9,0.4,8.1,0.4,12.9,0.6,14.5,0.4,14.0,0.4,12.9,0.4,15.4,0.6,18.8,0.4,20.2,0.5,20.8,0.6,15.6,0.7,12.0,0.3,13.7,0.4,16.1,0.5,7.8,0.5,12.1,0.3,14.8,0.4,18.3,0.5,6.2,0.4,4.5,0.2,5.9,0.2,7.7,0.3,1.6,0.2,4.2,0.2,5.3,0.2,7.0,0.3,1.8,0.2,51492,431,61042,595,73318,1205,33452,893,70638,716,81103,1012,94454,1426,47845,877,36.9,,,,,,,,,,37.9,,,,,,,,,,,,33.2,
0400000US05,05,Arkansas,1144663,8300,761494,10038,561297,9469,383169,8477,9.1,0.4,5.6,0.5,2.0,0.3,17.5,0.9,7.1,0.4,3.9,0.3,1.9,0.3,13.6,0.8,13.4,0.5,10.3,0.6,7.2,0.5,20.1,1.0,12.6,0.5,11.9,0.6,10.3,0.7,14.3,0.9,15.0,0.5,15.5,0.6,15.4,0.7,13.9,0.9,17.7,0.6,20.1,0.8,22.3,0.9,11.9,0.9,10.4,0.4,13.0,0.6,15.8,0.7,4.3,0.5,9.3,0.4,12.3,0.6,15.6,0.7,2.7,0.4,2.5,0.2,3.4,0.3,4.3,0.3,0.7,0.2,3.0,0.2,4.0,0.3,5.1,0.4,0.8,0.2,41995,477,52449,912,63991,1090,24282,669,59275,931,70602,1247,82394,1529,34556,958,35.4,,,,,,,,,,35.9,,,,,,,,,,,,32.5,
0400000US06,06,California,12896357,19487,8835906,26617,6342293,25212,4060451,23969,5.5,0.1,4.1,0.1,1.6,0.1,10.8,0.2,4.8,0.1,3.0,0.1,1.7,0.1,9.4,0.2,9.1,0.1,7.7,0.1,5.4,0.1,13.0,0.3,8.6,0.1,8.0,0.2,6.4,0.2,10.1,0.2,11.7,0.1,11.5,0.2,10.0,0.2,12.4,0.3,16.4,0.2,16.5,0.2,16.1,0.2,15.7,0.3,12.2,0.1,13.0,0.2,13.9,0.2,9.9,0.3,15.3,0.1,17.0,0.2,20.0,0.2,10.2,0.2,7.5,0.1,8.7,0.1,10.9,0.2,4.1,0.2,8.9,0.1,10.6,0.1,13.9,0.2,4.4,0.2,64500,395,73581,579,90031,553,42068,352,91757,393,101885,512,119331,638,64128,637,36.2,,,,,,,,,,36.9,,,,,,,,,,,,31.9,
0400000US08,08,Colorado,2074735,7548,1331861,11075,1038040,9389,742874,10127,5.3,0.2,3.1,0.2,1.2,0.2,10.2,0.6,3.7,0.2,1.9,0.2,1.0,0.1,7.1,0.5,8.3,0.3,5.5,0.3,3.6,0.3,14.1,0.7,8.6,0.3,7.1,0.3,5.4,0.3,11.7,0.6,13.2,0.3,11.5,0.4,10.0,0.4,16.5,0.7,18.3,0.4,18.1,0.5,17.5,0.6,18.5,0.8,13.4,0.3,15.2,0.4,16.5,0.5,9.5,0.6,16.1,0.4,19.9,0.5,23.4,0.7,7.9,0.5,6.6,0.2,8.7,0.3,10.5,0.4,2.3,0.3,6.6,0.2,8.9,0.3,10.9,0.4,2.2,0.3,63909,891,78384,1044,90634,923,40487,667,85915,783,101461,1195,114572,1462,54545,1239,33.5,,,,,,,,,,34.1,,,,,,,,,,,,30.8,
0400000US09,09,Connecticut,1343703,6712,876188,9056,647589,8615,467515,8897,5.7,0.3,3.3,0.3,0.9,0.2,11.0,0.6,3.9,0.3,2.1,0.3,0.9,0.2,7.5,0.7,8.0,0.3,5.1,0.4,2.5,0.3,14.3,0.8,7.2,0.4,5.7,0.4,3.7,0.4,10.9,0.7,11.3,0.4,9.4,0.4,7.3,0.4,14.9,0.7,15.9,0.5,15.1,0.5,14.1,0.7,16.9,1.0,12.5,0.4,13.5,0.5,14.3,0.6,10.2,0.7,17.0,0.5,20.8,0.6,24.4,0.8,8.7,0.6,8.2,0.4,10.9,0.5,13.7,0.6,2.9,0.3,10.3,0.3,14.2,0.5,18.2,0.6,2.8,0.3,71346,783,91388,936,110346,1214,41201,891,101347,1210,122665,1578,144501,2107,57952,1607,35.4,,,,,,,,,,36.6,,,,,,,,,,,,31.5,
0400000US10,10,Delaware,352595,3920,235385,4062,170416,4537,117210,4664,5.4,0.6,3.7,0.6,1.3,0.4,10.5,1.5,3.3,0.5,2.0,0.5,0.7,0.3,6.6,1.1,9.3,0.7,6.8,0.8,4.2,0.8,15.5,1.5,9.2,0.9,7.5,0.9,5.7,0.9,12.8,1.7,13.2,1.0,11.3,1.0,9.4,1.0,16.7,1.9,18.8,1.1,18.7,1.3,18.5,1.4,18.0,1.9,14.9,0.8,16.7,1.0,18.6,1.3,10.6,1.5,14.4,0.9,18.3,1.2,22.0,1.6,5.6,0.9,6.3,0.6,8.4,0.8,10.8,1.1,1.8,0.6,5.2,0.5,6.5,0.6,8.7,0.8,1.9,0.6,61255,1281,74931,2244,88506,2308,37810,1826,81120,2210,93475,2358,108903,2891,52761,4018,40.0,,,,,,,,,,40.6,,,,,,,,,,,,37.2,
0400000US11,11,District of Columbia,281787,3030,125178,3853,71857,3518,156609,4612,8.6,0.9,6.6,1.2,1.4,0.7,10.8,1.3,4.4,0.6,3.4,1.0,1.3,1.1,5.1,0.9,7.3,0.8,7.2,1.3,2.5,1.0,7.6,1.0,7.1,0.8,6.8,1.1,2.6,0.9,7.6,1.2,9.3,0.8,8.2,1.2,4.8,1.3,10.1,1.2,12.9,1.0,10.3,1.3,7.9,1.7,15.0,1.4,11.1,1.0,9.4,1.4,8.4,1.8,12.4,1.3,16.0,1.0,14.5,1.5,18.5,2.3,17.3,1.5,8.7,0.8,11.1,1.2,15.3,1.8,6.5,1.0,14.7,0.9,22.6,1.8,37.1,2.8,7.7,1.0,75628,2493,94846,4524,157430,9232,62840,3497,114600,4986,147329,10218,210595,16536,85768,2886,32.7,,,,,,,,,,35.6,,,,,,,,,,,,29.2,
