state,poll_type,sample_size,demographic,percentage,clinton,trump,other1,other2,other3
AZ,Gender,1729,Male,49%,40%,53%,5%,1%,1%
AZ,Gender,1729,Female,51%,49%,45%,3%,1%,2%
AZ,Age,1729,18-29,14%,53%,35%,8%,3%,1%
AZ,Age,1729,30-44,24%,47%,41%,6%,2%,4%
AZ,Age,1729,45-64,37%,41%,54%,2%,1%,2%
AZ,Age,1729,65 and older,25%,42%,55%,2%,0%,1%
AZ,Age,1729,18-24,9%,N/A,N/A,N/A,N/A,N/A
AZ,Age,1729,25-29,5%,N/A,N/A,N/A,N/A,N/A
AZ,Age,1729,30-39,17%,47%,41%,6%,2%,4%
AZ,Age,1729,40-49,17%,45%,48%,3%,1%,3%
AZ,Age,1729,50-64,28%,41%,55%,2%,1%,1%
AZ,Age,1729,65 and older,25%,42%,55%,2%,0%,1%
AZ,Age,1729,18-44,38%,49%,39%,7%,2%,3%
AZ,Age,1729,45 and older,62%,42%,55%,2%,0%,1%
AZ,Race,1729,White,75%,40%,54%,3%,1%,2%
AZ,Race,1729,Black,2%,N/A,N/A,N/A,N/A,N/A
AZ,Race,1729,Latino,15%,61%,31%,5%,2%,1%
AZ,Race,1729,Asian,2%,N/A,N/A,N/A,N/A,N/A
AZ,Race,1729,Other race,5%,N/A,N/A,N/A,N/A,N/A
AZ,Race,1729,White,75%,40%,54%,3%,1%,2%
AZ,Race,1729,Non-white,25%,59%,32%,5%,2%,2%
AZ,Race and gender,1729,White men,37%,36%,56%,5%,1%,2%
AZ,Race and gender,1729,White women,39%,44%,51%,2%,1%,2%
AZ,Race and gender,1729,Black men,1%,N/A,N/A,N/A,N/A,N/A
AZ,Race and gender,1729,Black women,1%,N/A,N/A,N/A,N/A,N/A
AZ,Race and gender,1729,Latino men,8%,51%,42%,3%,3%,1%
AZ,Race and gender,1729,Latino women,7%,73%,17%,7%,2%,1%
AZ,Race and gender,1729,Others,7%,N/A,N/A,N/A,N/A,N/A
AZ,Education,1729,High school or less,19%,44%,52%,3%,0%,1%
AZ,Education,1729,Some college,30%,43%,49%,4%,3%,1%
AZ,Education,1729,College graduate,36%,41%,51%,5%,1%,2%
AZ,Education,1729,Postgraduate,15%,58%,39%,2%,0%,1%
AZ,Are you a college graduate?,1729,Yes,51%,46%,47%,7%
AZ,Are you a college graduate?,1729,No,49%,43%,50%,7%
AZ,Education and race,1729,White college graduates,40%,44%,50%,4%,1%,1%
AZ,Education and race,1729,Whites no degree,35%,36%,58%,3%,1%,2%
AZ,Education and race,1729,Non-whites college grads,11%,57%,35%,4%,0%,4%
AZ,Education and race,1729,Non-whites no degree,14%,61%,30%,5%,3%,1%
AZ,Education among whites by sex,1729,White college-grad women,21%,46%,48%,2%,1%,3%
AZ,Education among whites by sex,1729,White non-college women,18%,40%,55%,1%,1%,3%
AZ,Education among whites by sex,1729,White college-grad men,19%,41%,53%,6%,0%,N/A
AZ,Education among whites by sex,1729,White non-college men,18%,32%,60%,5%,2%,1%
AZ,Education among whites by sex,1729,Non-whites,25%,59%,32%,5%,2%,2%
AZ,Party ID,1729,Democrats,28%,89%,7%,3%,0%,1%
AZ,Party ID,1729,Republicans,32%,7%,88%,3%,N/A,2%
AZ,Party ID,1729,Independents,40%,44%,47%,5%,2%,2%
