state,poll_type,sample_size,demographic,percentage,clinton,trump,other1,other2,other3
CO,Gender,1335,Male,49%,41%,49%,7%,1%,2%
CO,Gender,1335,Female,51%,55%,39%,3%,1%,2%
CO,Age,1335,18-29,19%,50%,36%,11%,1%,2%
CO,Age,1335,30-44,26%,46%,45%,5%,2%,2%
CO,Age,1335,45-64,38%,49%,45%,3%,1%,2%
CO,Age,1335,65 and older,17%,49%,48%,1%,0%,2%
CO,Age,1335,18-24,11%,N/A,N/A,N/A,N/A,N/A
CO,Age,1335,25-29,8%,N/A,N/A,N/A,N/A,N/A
CO,Age,1335,30-39,17%,48%,42%,7%,2%,1%
CO,Age,1335,40-49,19%,43%,50%,3%,1%,3%
CO,Age,1335,50-64,29%,51%,43%,3%,2%,1%
CO,Age,1335,65 and older,17%,49%,48%,1%,0%,2%
CO,Age,1335,18-44,45%,48%,41%,8%,1%,2%
CO,Age,1335,45 and older,55%,49%,46%,2%,1%,2%
CO,Race,1335,White,78%,45%,47%,5%,1%,2%
CO,Race,1335,Black,4%,N/A,N/A,N/A,N/A,N/A
CO,Race,1335,Latino,12%,67%,30%,2%,0%,1%
CO,Race,1335,Asian,3%,N/A,N/A,N/A,N/A,N/A
CO,Race,1335,Other race,4%,N/A,N/A,N/A,N/A,N/A
CO,Race,1335,White,78%,45%,47%,5%,1%,2%
CO,Race,1335,Non-white,22%,62%,31%,3%,1%,3%
CO,Race and gender,1335,White men,38%,38%,50%,8%,1%,3%
CO,Race and gender,1335,White women,40%,50%,44%,3%,2%,1%
CO,Race and gender,1335,Black men,2%,N/A,N/A,N/A,N/A,N/A
CO,Race and gender,1335,Black women,2%,N/A,N/A,N/A,N/A,N/A
CO,Race and gender,1335,Latino men,6%,N/A,N/A,N/A,N/A,N/A
CO,Race and gender,1335,Latino women,5%,N/A,N/A,N/A,N/A,N/A
CO,Race and gender,1335,Others,7%,N/A,N/A,N/A,N/A,N/A
CO,Education,1335,High school or less,19%,40%,51%,5%,1%,3%
CO,Education,1335,Some college,27%,43%,49%,4%,1%,3%
CO,Education,1335,College graduate,34%,48%,43%,6%,1%,2%
CO,Education,1335,Postgraduate,20%,64%,30%,4%,1%,1%
CO,Are you a college graduate?,1335,Yes,54%,54%,38%,5%,1%,2%
CO,Are you a college graduate?,1335,No,46%,42%,50%,5%,1%,2%
CO,Education and race,1335,White college graduates,45%,53%,39%,5%,1%,2%
CO,Education and race,1335,Whites no degree,33%,34%,58%,6%,1%,1%
CO,Education and race,1335,Non-whites college grads,10%,61%,34%,5%,0%,N/A
CO,Education and race,1335,Non-whites no degree,12%,62%,29%,2%,1%,6%
CO,Education among whites by sex,1335,White college-grad women,23%,58%,37%,2%,2%,1%
CO,Education among whites by sex,1335,White non-college women,18%,40%,53%,3%,1%,3%
CO,Education among whites by sex,1335,White college-grad men,22%,47%,41%,8%,1%,3%
CO,Education among whites by sex,1335,White non-college men,16%,26%,63%,8%,1%,2%
CO,Education among whites by sex,1335,Non-whites,22%,61%,31%,3%,1%,4%
CO,Income,1335,"Under $30,000",13%,44%,38%,8%,3%,7%
CO,Income,1335,"$30K-$49,999",22%,46%,43%,6%,2%,3%
CO,Income,1335,"$50K-$99,999",32%,52%,44%,3%,1%,N/A
CO,Income,1335,"$100K-$199,999",23%,49%,42%,7%,1%,1%
CO,Income,1335,"$200K-$249,999",4%,N/A,N/A,N/A,N/A,N/A
CO,Income,1335,"$250,000 or more",6%,N/A,N/A,N/A,N/A,N/A
CO,Income,1335,Under $50K,36%,46%,41%,7%,2%,4%
CO,Income,1335,$50K-$100K,32%,52%,44%,3%,1%,N/A
CO,Income,1335,$100K or more,33%,51%,41%,6%,1%,1%
CO,Income,1335,Under $50K,36%,46%,41%,7%,2%,4%
CO,Income,1335,$50K or more,64%,52%,42%,4%,1%,1%
CO,Income,1335,Under $100K,67%,49%,42%,5%,2%,2%
CO,Income,1335,$100K or more,33%,51%,41%,6%,1%,1%
CO,Party ID,1335,Democrats,32%,87%,9%,1%,0%,3%
CO,Party ID,1335,Republicans,24%,8%,88%,3%,0%,1%
CO,Party ID,1335,Independents,43%,42%,45%,9%,2%,2%
CO,Party by gender,1335,Democratic men,12%,82%,12%,2%,1%,3%
CO,Party by gender,1335,Democratic women,20%,91%,7%,1%,0%,1%
CO,Party by gender,1335,Republican men,12%,11%,84%,5%,N/A,N/A
CO,Party by gender,1335,Republican women,12%,6%,92%,1%,1%,N/A
CO,Party by gender,1335,Independent men,25%,36%,50%,11%,2%,1%
CO,Party by gender,1335,Independent women,18%,49%,39%,6%,3%,3%
CO,Ideology,1335,Liberal,28%,85%,10%,3%,2%,N/A
CO,Ideology,1335,Moderate,37%,53%,36%,7%,2%,2%
CO,Ideology,1335,Conservative,35%,16%,80%,3%,0%,1%
CO,When did you decide presidential vote?,1335,Last few days,N/A,N/A,N/A,N/A,N/A,N/A
CO,When did you decide presidential vote?,1335,Last week,6%,N/A,N/A,N/A,N/A,N/A
CO,When did you decide presidential vote?,1335,In October,17%,35%,50%,8%,3%,4%
CO,When did you decide presidential vote?,1335,In September,12%,42%,48%,7%,2%,1%
CO,When did you decide presidential vote?,1335,Before September,63%,54%,41%,3%,1%,1%
