state,poll_type,sample_size,demographic,percentage,clinton,trump,other1,other2,other3
IA,Gender,2972,Male,47%,33%,61%,6%
IA,Gender,2972,Female,53%,51%,44%,5%
IA,Age,2972,18-29,18%,42%,48%,4%,4%,2%
IA,Age,2972,30-44,23%,38%,52%,6%,1%,3%
IA,Age,2972,45-64,37%,43%,53%,2%,1%,1%
IA,Age,2972,65 and older,22%,47%,51%,1%,0%,1%
IA,Age,2972,18-24,10%,48%,39%,3%,7%,3%
IA,Age,2972,25-29,8%,34%,58%,5%,1%,2%
IA,Age,2972,30-39,17%,39%,49%,7%,1%,4%
IA,Age,2972,40-49,16%,35%,60%,3%,1%,1%
IA,Age,2972,50-64,28%,46%,51%,2%,0%,1%
IA,Age,2972,65 and older,22%,47%,51%,1%,0%,1%
IA,Age,2972,18-44,41%,40%,50%,5%,2%,3%
IA,Age,2972,45 and older,59%,44%,52%,2%,1%,1%
IA,Race,2972,White,90%,40%,54%,1%,3%,2%
IA,Race,2972,Black,2%,N/A,N/A,N/A,N/A,N/A
IA,Race,2972,Latino,5%,63%,26%,6%,5%,N/A
IA,Race,2972,Asian,1%,N/A,N/A,N/A,N/A,N/A
IA,Race,2972,Other race,2%,N/A,N/A,N/A,N/A,N/A
IA,Race,2972,White,90%,40%,54%,1%,3%,2%
IA,Race,2972,Non-white,10%,63%,25%,6%,4%,2%
IA,Race and gender,2972,White men,43%,31%,64%,5%
IA,Race and gender,2972,White women,48%,49%,46%,5%
IA,Race and gender,2972,Black men,1%,N/A,N/A,N/A
IA,Race and gender,2972,Black women,1%,N/A,N/A,N/A
IA,Race and gender,2972,Latino men,3%,N/A,N/A,N/A
IA,Race and gender,2972,Latino women,3%,N/A,N/A,N/A
IA,Race and gender,2972,Others,2%,N/A,N/A,N/A
IA,Education,2972,High school or less,24%,44%,51%,5%
IA,Education,2972,Some college,33%,38%,56%,6%
IA,Education,2972,College graduate,30%,40%,53%,7%
IA,Education,2972,Postgraduate,14%,57%,36%,7%
IA,Are you a college graduate?,2972,Yes,43%,46%,48%,6%
IA,Are you a college graduate?,2972,No,57%,40%,54%,6%
IA,Education and race,2972,White college graduates,40%,44%,49%,1%,4%,2%
IA,Education and race,2972,Whites no degree,50%,38%,58%,1%,2%,1%
IA,Education and race,2972,Non-whites college grads,3%,N/A,N/A,N/A,N/A,N/A
IA,Education and race,2972,Non-whites no degree,6%,62%,23%,9%,6%,N/A
IA,Education among whites by sex,2972,White college-grad women,22%,52%,41%,1%,4%,2%
IA,Education among whites by sex,2972,White non-college women,26%,47%,49%,0%,3%,1%
IA,Education among whites by sex,2972,White college-grad men,18%,33%,60%,1%,4%,2%
IA,Education among whites by sex,2972,White non-college men,24%,29%,67%,1%,1%,2%
IA,Education among whites by sex,2972,Non-whites,10%,63%,25%,6%,4%,2%
IA,Income,2972,"Under $30,000",15%,48%,39%,9%,2%,2%
IA,Income,2972,"$30K-$49,999",22%,56%,37%,1%,5%,1%
IA,Income,2972,"$50K-$99,999",36%,39%,55%,0%,4%,2%
IA,Income,2972,"$100K-$199,999",21%,43%,49%,0%,5%,3%
IA,Income,2972,"$200K-$249,999",3%,N/A,N/A,N/A,N/A,N/A
IA,Income,2972,"$250,000 or more",3%,N/A,N/A,N/A,N/A,N/A
IA,Income,2972,Under $50K,36%,52%,38%,10%
IA,Income,2972,$50K-$100K,36%,39%,55%,6%
IA,Income,2972,$100K or more,27%,43%,51%,6%
IA,Income,2972,Under $50K,36%,52%,38%,10%
IA,Income,2972,$50K or more,64%,41%,53%,6%
IA,Income,2972,Under $100K,73%,46%,46%,8%
IA,Income,2972,$100K or more,27%,43%,51%,6%
IA,Party ID,2972,Democrats,31%,88%,10%,1%,1%,N/A
IA,Party ID,2972,Republicans,34%,6%,90%,3%,0%,1%
IA,Party ID,2972,Independents,35%,38%,51%,5%,3%,3%
IA,Party by gender,2972,Democratic men,12%,85%,13%,1%,1%,N/A
IA,Party by gender,2972,Democratic women,19%,90%,7%,2%,0%,1%
IA,Party by gender,2972,Republican men,18%,5%,92%,3%,0%,N/A
IA,Party by gender,2972,Republican women,16%,7%,88%,3%,0%,2%
IA,Party by gender,2972,Independent men,17%,26%,61%,5%,5%,3%
IA,Party by gender,2972,Independent women,18%,50%,42%,4%,2%,2%
