state,poll_type,sample_size,demographic,percentage,clinton,trump,other1,other2,other3
IN,Gender,1817,Male,49%,33%,62%,5%
IN,Gender,1817,Female,51%,42%,53%,5%
IN,Age,1817,18-29,19%,46%,46%,8%,N/A
IN,Age,1817,30-44,28%,37%,57%,6%,N/A
IN,Age,1817,45-64,38%,34%,63%,4%,N/A
IN,Age,1817,65 and older,14%,39%,58%,3%,N/A
IN,Age,1817,18-24,11%,50%,44%,6%,N/A
IN,Age,1817,25-29,9%,42%,48%,10%,N/A
IN,Age,1817,30-39,19%,38%,56%,6%,N/A
IN,Age,1817,40-49,20%,30%,63%,7%,N/A
IN,Age,1817,50-64,28%,37%,62%,2%,N/A
IN,Age,1817,65 and older,14%,39%,58%,3%,N/A
IN,Age,1817,18-44,47%,41%,53%,7%,N/A
IN,Age,1817,45 and older,53%,35%,61%,3%,1%
IN,Race,1817,White,83%,32%,64%,5%,N/A
IN,Race,1817,Black,9%,83%,12%,4%,1%
IN,Race,1817,Latino,5%,N/A,N/A,N/A,N/A
IN,Race,1817,Asian,1%,N/A,N/A,N/A,N/A
IN,Race,1817,Other race,2%,N/A,N/A,N/A,N/A
IN,Race,1817,White,83%,32%,64%,5%
IN,Race,1817,Non-white,17%,69%,27%,5%
IN,Race and gender,1817,White men,41%,27%,68%,5%,N/A
IN,Race and gender,1817,White women,42%,35%,60%,5%,N/A
IN,Race and gender,1817,Black men,4%,N/A,N/A,N/A,N/A
IN,Race and gender,1817,Black women,5%,88%,8%,4%,N/A
IN,Race and gender,1817,Latino men,3%,N/A,N/A,N/A,N/A
IN,Race and gender,1817,Latino women,3%,N/A,N/A,N/A,N/A
IN,Race and gender,1817,Others,3%,N/A,N/A,N/A,N/A
IN,Education,1817,High school or less,20%,30%,66%,4%,N/A
IN,Education,1817,Some college,33%,34%,61%,5%,N/A
IN,Education,1817,College graduate,32%,38%,56%,6%,N/A
IN,Education,1817,Postgraduate,15%,54%,41%,5%,N/A
IN,Are you a college graduate?,1817,Yes,47%,43%,51%,6%,N/A
IN,Are you a college graduate?,1817,No,53%,33%,63%,4%,N/A
IN,Education and race,1817,White college graduates,40%,37%,57%,6%,N/A
IN,Education and race,1817,Whites no degree,44%,26%,69%,4%,1%
IN,Education and race,1817,Non-whites college grads,7%,75%,21%,4%,N/A
IN,Education and race,1817,Non-whites no degree,10%,62%,34%,5%,N/A
IN,Education among whites by sex,1817,White college-grad women,21%,39%,55%,6%,N/A
IN,Education among whites by sex,1817,White non-college women,22%,30%,65%,5%,N/A
IN,Education among whites by sex,1817,White college-grad men,19%,34%,60%,6%,N/A
IN,Education among whites by sex,1817,White non-college men,21%,22%,73%,4%,1%
IN,Education among whites by sex,1817,Non-whites,17%,68%,28%,4%,N/A
IN,Income,1817,"Under $30,000",15%,41%,49%,10%,N/A
IN,Income,1817,"$30K-$49,999",21%,38%,53%,8%,1%
IN,Income,1817,"$50K-$99,999",35%,33%,63%,4%,N/A
IN,Income,1817,"$100K-$199,999",22%,31%,63%,5%,1%
IN,Income,1817,"$200K-$249,999",3%,N/A,N/A,N/A,N/A
IN,Income,1817,"$250,000 or more",3%,N/A,N/A,N/A,N/A
IN,Income,1817,Under $50K,37%,40%,52%,9%,N/A
IN,Income,1817,$50K-$100K,35%,33%,63%,4%,N/A
IN,Income,1817,$100K or more,28%,34%,62%,5%,N/A
IN,Income,1817,Under $50K,37%,40%,52%,9%,N/A
IN,Income,1817,$50K or more,63%,33%,62%,4%,1%
IN,Income,1817,Under $100K,72%,36%,57%,7%
IN,Income,1817,$100K or more,28%,34%,62%,5%
IN,Party ID,1817,Democrats,30%,84%,13%,3%,N/A
IN,Party ID,1817,Republicans,42%,6%,92%,3%,N/A
IN,Party ID,1817,Independents,28%,36%,53%,11%,N/A
IN,Ideology,1817,Liberal,22%,79%,15%,5%,1%
IN,Ideology,1817,Moderate,40%,41%,53%,6%,N/A
IN,Ideology,1817,Conservative,38%,10%,86%,4%,N/A
IN,Party by gender,1817,Democratic men,12%,85%,15%,1%,N/A
IN,Party by gender,1817,Democratic women,18%,84%,13%,3%,N/A
IN,Party by gender,1817,Republican men,22%,6%,93%,2%,N/A
IN,Party by gender,1817,Republican women,21%,6%,91%,4%,N/A
IN,Party by gender,1817,Independent men,16%,34%,53%,13%,N/A
IN,Party by gender,1817,Independent women,12%,39%,52%,9%,N/A
IN,White born-again or evangelical Christian?,1817,Yes,39%,22%,75%,3%,N/A
IN,White born-again or evangelical Christian?,1817,No,61%,50%,45%,5%,N/A
IN,Marital status,1817,Married,62%,33%,61%,6%
IN,Marital status,1817,Unmarried,38%,45%,49%,6%
IN,Marital status by gender,1817,Married men,31%,29%,65%,7%
IN,Marital status by gender,1817,Married women,32%,37%,57%,6%
IN,Marital status by gender,1817,Unmarried men,16%,41%,54%,5%
IN,Marital status by gender,1817,Unmarried women,21%,48%,45%,7%
IN,When did you decide presidential vote?,1817,Last few days,15%,33%,49%,18%,N/A
IN,When did you decide presidential vote?,1817,Last week,6%,N/A,N/A,N/A,N/A
IN,When did you decide presidential vote?,1817,In October,7%,N/A,N/A,N/A,N/A
IN,When did you decide presidential vote?,1817,In September,7%,N/A,N/A,N/A,N/A
IN,When did you decide presidential vote?,1817,Before September,63%,37%,60%,3%,N/A
IN,When did you decide presidential vote?,1817,In the last week,21%,36%,51%,14%,N/A
IN,When did you decide presidential vote?,1817,Before that,78%,35%,61%,4%,N/A
IN,When did you decide presidential vote?,1817,In the last month,29%,34%,53%,13%,N/A
IN,When did you decide presidential vote?,1817,Before that,71%,35%,61%,4%,N/A
IN,Opinion of presidential candidate you voted for,1817,Strongly favor ,45%,36%,61%,3%,N/A
IN,Opinion of presidential candidate you voted for,1817,Have reservations,32%,41%,55%,4%,N/A
IN,Opinion of presidential candidate you voted for,1817,Dislike opponents,21%,36%,56%,8%,N/A
IN,Most important issue facing the country,1817,Foreign policy,13%,45%,48%,7%,N/A
IN,Most important issue facing the country,1817,Immigration,13%,N/A,N/A,N/A,N/A
IN,Most important issue facing the country,1817,Economy,54%,38%,54%,8%,N/A
IN,Most important issue facing the country,1817,Terrorism,17%,28%,68%,4%,N/A
IN,Which candidate quality mattered most?,1817,Cares about me,20%,52%,45%,3%,N/A
IN,Which candidate quality mattered most?,1817,Can bring change,49%,10%,84%,6%,N/A
IN,Which candidate quality mattered most?,1817,Right experience,14%,82%,12%,6%,N/A
IN,Which candidate quality mattered most?,1817,Good judgment,15%,54%,34%,12%,N/A
IN,Illegal immigrants working in the U.S. should be:,1817,Offered legal status,67%,50%,45%,5%,N/A
