state,poll_type,sample_size,demographic,percentage,clinton,trump,other1,other2,other3
KY,Gender,1099,Male,49%,26%,71%,3%
KY,Gender,1099,Female,51%,40%,54%,6%
KY,Age,1099,18-29,19%,34%,59%,7%
KY,Age,1099,30-44,23%,29%,66%,5%
KY,Age,1099,45-64,42%,33%,63%,4%
KY,Age,1099,65 and older,17%,37%,61%,2%
KY,Age,1099,18-24,10%,31%,61%,6%,1%,1%
KY,Age,1099,25-29,9%,N/A,N/A,N/A,N/A,N/A
KY,Age,1099,30-39,15%,33%,61%,0%,3%,3%
KY,Age,1099,40-49,18%,24%,72%,3%,1%,N/A
KY,Age,1099,50-64,32%,35%,61%,3%,0%,1%
KY,Age,1099,65 and older,17%,37%,61%,1%,N/A,1%
KY,Age,1099,18-44,42%,31%,63%,6%
KY,Age,1099,45 and older,58%,34%,62%,4%
KY,Race,1099,White,88%,27%,68%,5%
KY,Race,1099,Black,8%,N/A,N/A,N/A
KY,Race,1099,Latino,3%,N/A,N/A,N/A
KY,Race,1099,Asian,1%,N/A,N/A,N/A
KY,Race,1099,Other race,1%,N/A,N/A,N/A
KY,Race,1099,White,88%,27%,68%,5%
KY,Race,1099,Non-white,12%,73%,20%,7%
KY,Race and gender,1099,White men,43%,20%,77%,3%
KY,Race and gender,1099,White women,44%,35%,60%,5%
KY,Race and gender,1099,Black men,4%,N/A,N/A,N/A
KY,Race and gender,1099,Black women,4%,N/A,N/A,N/A
KY,Race and gender,1099,Latino men,1%,N/A,N/A,N/A
KY,Race and gender,1099,Latino women,1%,N/A,N/A,N/A
KY,Race and gender,1099,Others,2%,N/A,N/A,N/A
KY,Education,1099,High school or less,25%,28%,66%,6%
KY,Education,1099,Some college,36%,33%,64%,3%
KY,Education,1099,College graduate,24%,28%,67%,5%
KY,Education,1099,Postgraduate,15%,53%,42%,5%
KY,Are you a college graduate?,1099,Yes,40%,38%,58%,4%
KY,Are you a college graduate?,1099,No,60%,31%,65%,4%
KY,Education and race,1099,White college graduates,36%,34%,61%,5%
