state,poll_type,sample_size,demographic,percentage,clinton,trump,other1,other2,other3
ME,Gender,2128,Male,48%,41%,52%,6%,2%,N/A
ME,Gender,2128,Female,52%,55%,39%,5%,2%,N/A
ME,Age,2128,18-29,19%,48%,43%,6%,3%,N/A
ME,Age,2128,30-44,24%,42%,50%,7%,2%,N/A
ME,Age,2128,45-64,38%,48%,47%,4%,1%,N/A
ME,Age,2128,65 and older,19%,56%,39%,3%,2%,N/A
ME,Age,2128,18-24,11%,50%,42%,5%,3%,N/A
ME,Age,2128,25-29,8%,46%,44%,8%,2%,N/A
ME,Age,2128,30-39,16%,40%,50%,7%,2%,1%
ME,Age,2128,40-49,17%,48%,46%,6%,1%,N/A
ME,Age,2128,50-64,29%,47%,48%,4%,2%,N/A
ME,Age,2128,65 and older,19%,56%,39%,3%,2%,N/A
ME,Age,2128,18-44,43%,44%,47%,7%,2%,N/A
ME,Age,2128,45 and older,57%,50%,44%,4%,1%,1%
ME,Race,2128,White,93%,47%,46%,5%,2%,N/A
ME,Race,2128,Black,1%,N/A,N/A,N/A,N/A,N/A
ME,Race,2128,Latino,2%,N/A,N/A,N/A,N/A,N/A
ME,Race,2128,Asian,1%,N/A,N/A,N/A,N/A,N/A
ME,Race,2128,Other race,2%,N/A,N/A,N/A,N/A,N/A
ME,Race,2128,White,93%,47%,46%,5%,2%,N/A
ME,Race,2128,Non-white,7%,56%,33%,10%,2%,N/A
ME,Race and gender,2128,White men,45%,40%,53%,5%,2%,N/A
ME,Race and gender,2128,White women,49%,54%,39%,4%,2%,1%
ME,Race and gender,2128,Black men,1%,N/A,N/A,N/A,N/A,N/A
ME,Race and gender,2128,Black women,1%,N/A,N/A,N/A,N/A,N/A
ME,Race and gender,2128,Latino men,1%,N/A,N/A,N/A,N/A,N/A
ME,Race and gender,2128,Latino women,1%,N/A,N/A,N/A,N/A,N/A
ME,Race and gender,2128,Others,3%,N/A,N/A,N/A,N/A,N/A
ME,Education,2128,High school or less,17%,31%,63%,5%,2%,N/A
ME,Education,2128,Some college,33%,41%,51%,5%,3%,N/A
ME,Education,2128,College graduate,30%,49%,43%,6%,1%,1%
ME,Education,2128,Postgraduate,20%,73%,22%,4%,1%,N/A
ME,Are you a college graduate?,2128,Yes,50%,58%,35%,5%,1%,1%
ME,Are you a college graduate?,2128,No,50%,38%,55%,5%,3%,N/A
ME,Education and race,2128,White college graduates,47%,59%,35%,5%,1%,N/A
ME,Education and race,2128,Whites no degree,47%,36%,57%,4%,3%,N/A
ME,Education and race,2128,Non-whites college grads,3%,N/A,N/A,N/A,N/A,N/A
ME,Education and race,2128,Non-whites no degree,3%,N/A,N/A,N/A,N/A,N/A
ME,Education among whites by sex,2128,White college-grad women,27%,65%,29%,5%,1%,N/A
ME,Education among whites by sex,2128,White non-college women,22%,40%,52%,4%,3%,1%
ME,Education among whites by sex,2128,White college-grad men,20%,51%,42%,5%,2%,N/A
ME,Education among whites by sex,2128,White non-college men,24%,33%,61%,5%,2%,N/A
ME,Education among whites by sex,2128,Non-whites,6%,54%,34%,11%,1%,N/A
ME,Income,2128,"Under $30,000",20%,49%,42%,4%,5%,N/A
ME,Income,2128,"$30K-$49,999",19%,38%,52%,8%,2%,N/A
ME,Income,2128,"$50K-$99,999",34%,50%,44%,5%,1%,N/A
ME,Income,2128,"$100K-$199,999",20%,54%,43%,2%,0%,1%
ME,Income,2128,"$200K-$249,999",3%,N/A,N/A,N/A,N/A,N/A
ME,Income,2128,"$250,000 or more",3%,N/A,N/A,N/A,N/A,N/A
ME,Income,2128,Under $50K,39%,44%,47%,6%,3%,N/A
ME,Income,2128,$50K-$100K,34%,50%,44%,5%,1%,N/A
ME,Income,2128,$100K or more,27%,55%,41%,3%,1%,N/A
ME,Income,2128,Under $50K,39%,44%,47%,6%,3%,N/A
ME,Income,2128,$50K or more,61%,52%,43%,4%,1%,N/A
ME,Income,2128,Under $100K,73%,47%,45%,6%,2%,N/A
ME,Income,2128,$100K or more,27%,55%,41%,3%,1%,N/A
ME,Party ID,2128,Democrats,31%,90%,8%,1%,1%,N/A
ME,Party ID,2128,Republicans,30%,7%,89%,4%,0%,N/A
ME,Party ID,2128,Independents,39%,46%,41%,9%,4%,N/A
ME,Party by gender,2128,Democratic men,12%,89%,10%,1%,0%,N/A
ME,Party by gender,2128,Democratic women,20%,90%,7%,2%,1%,N/A
ME,Party by gender,2128,Republican men,16%,6%,89%,4%,0%,1%
ME,Party by gender,2128,Republican women,13%,9%,88%,3%,N/A,N/A
ME,Party by gender,2128,Independent men,20%,42%,45%,10%,4%,N/A
ME,Party by gender,2128,Independent women,19%,50%,37%,9%,4%,N/A
ME,Ideology,2128,Liberal,31%,84%,8%,4%,4%,N/A
ME,Ideology,2128,Moderate,40%,47%,46%,6%,2%,N/A
ME,Ideology,2128,Conservative,29%,11%,84%,5%,0%,N/A
ME,Marital status,2128,Married,58%,48%,46%,5%,1%,N/A
ME,Marital status,2128,Unmarried,42%,48%,44%,6%,2%,N/A
ME,Marital status by gender,2128,Married men,29%,43%,51%,4%,2%,N/A
ME,Marital status by gender,2128,Married women,29%,53%,41%,5%,1%,N/A
ME,Marital status by gender,2128,Unmarried men,20%,38%,54%,6%,2%,N/A
ME,Marital status by gender,2128,Unmarried women,23%,57%,35%,5%,2%,1%
ME,When did you decide presidential vote?,2128,Last few days,16%,37%,43%,16%,4%,N/A
ME,When did you decide presidential vote?,2128,Last week,6%,N/A,N/A,N/A,N/A,N/A
ME,When did you decide presidential vote?,2128,In October,8%,N/A,N/A,N/A,N/A,N/A
ME,When did you decide presidential vote?,2128,In September,8%,N/A,N/A,N/A,N/A,N/A
ME,When did you decide presidential vote?,2128,Before September,61%,55%,42%,2%,1%,N/A
ME,When did you decide presidential vote?,2128,In the last week,22%,33%,49%,14%,4%,N/A
ME,When did you decide presidential vote?,2128,Before that,77%,52%,44%,2%,1%,1%
ME,When did you decide presidential vote?,2128,In the last month,31%,35%,51%,11%,3%,N/A
ME,When did you decide presidential vote?,2128,Before that,69%,54%,43%,2%,1%,N/A
ME,Opinion of presidential candidate you voted for,2128,Strongly favor ,40%,50%,47%,1%,2%,N/A
ME,Opinion of presidential candidate you voted for,2128,Have reservations,36%,49%,47%,2%,1%,1%
ME,Opinion of presidential candidate you voted for,2128,Dislike opponents,22%,42%,39%,16%,4%,N/A
ME,Most important issue facing the country,2128,Foreign policy,14%,71%,18%,5%,5%,1%
ME,Most important issue facing the country,2128,Immigration,11%,20%,75%,5%,0%,N/A
ME,Most important issue facing the country,2128,Economy,50%,53%,39%,6%,2%,N/A
ME,Most important issue facing the country,2128,Terrorism,21%,36%,60%,4%,1%,N/A
ME,Which candidate quality mattered most?,2128,Cares about me,11%,48%,39%,8%,6%,N/A
ME,Which candidate quality mattered most?,2128,Can bring change,42%,14%,81%,4%,1%,N/A
ME,Which candidate quality mattered most?,2128,Right experience,24%,91%,7%,2%,N/A,N/A
ME,Which candidate quality mattered most?,2128,Good judgment,21%,71%,18%,8%,3%,N/A
ME,Illegal immigrants working in the U.S. should be:,2128,Offered legal status,67%,64%,29%,5%,2%,N/A
ME,Illegal immigrants working in the U.S. should be:,2128,Deported to home country,31%,13%,80%,6%,1%,N/A
ME,How do things work in the U.S. today?,2128,Whites are favored,36%,82%,13%,3%,3%,N/A
ME,How do things work in the U.S. today?,2128,Minorities are favored,28%,14%,80%,5%,1%,N/A
ME,How do things work in the U.S. today?,2128,No group is favored,33%,39%,52%,8%,2%,N/A
ME,"Concerning illegal drug use, more important to:",2128,Prosecute drug crimes,31%,23%,73%,4%,1%,N/A
ME,"Concerning illegal drug use, more important to:",2128,Get treatment for users,65%,60%,31%,6%,3%,N/A
ME,Is climate change a serious problem?,2128,Yes,77%,59%,33%,5%,3%,N/A
ME,Is climate change a serious problem?,2128,No,22%,9%,88%,4%,N/A,N/A
ME,Feelings about the federal government,2128,Enthusiastic,2%,N/A,N/A,N/A,N/A,N/A
ME,Feelings about the federal government,2128,Satisfied,21%,69%,28%,2%,0%,1%
ME,Feelings about the federal government,2128,Dissatisfied,54%,48%,45%,6%,1%,N/A
ME,Feelings about the federal government,2128,Angry,22%,23%,65%,7%,5%,N/A
ME,Feelings about the federal government,2128,Enthusiastic/Satisfied,23%,71%,27%,2%,0%,N/A
ME,Feelings about the federal government,2128,Dissatisfied/Angry,76%,41%,51%,6%,2%,N/A
ME,Opinion of Barack Obama as president,2128,Strongly approve,32%,92%,6%,2%,1%,N/A
ME,Opinion of Barack Obama as president,2128,Somewhat approve,24%,63%,23%,9%,5%,N/A
ME,Opinion of Barack Obama as president,2128,Somewhat disapprove,16%,16%,73%,9%,2%,N/A
ME,Opinion of Barack Obama as president,2128,Strongly disapprove,28%,4%,92%,3%,1%,N/A
ME,Opinion of Barack Obama as president,2128,Approve,55%,79%,13%,5%,3%,N/A
ME,Opinion of Barack Obama as president,2128,Disapprove,44%,8%,85%,5%,1%,1%
ME,Opinion of Hillary Clinton,2128,Favorable,41%,96%,3%,1%,0%,N/A
ME,Opinion of Hillary Clinton,2128,Unfavorable,57%,13%,75%,8%,3%,1%
