state,poll_type,sample_size,demographic,percentage,clinton,trump,other1,other2,other3
MI,Gender,2812,Male,48%,41%,53%,6%
MI,Gender,2812,Female,52%,53%,42%,5%
MI,Age,2812,18-29,21%,57%,34%,6%,2%,1%
MI,Age,2812,30-44,21%,44%,48%,4%,2%,2%
MI,Age,2812,45-64,39%,44%,52%,4%,1%,N/A
MI,Age,2812,65 and older,19%,47%,51%,1%,0%,1%
MI,Age,2812,18-24,11%,58%,35%,4%,2%,1%
MI,Age,2812,25-29,10%,55%,33%,9%,2%,1%
MI,Age,2812,30-39,14%,45%,46%,4%,3%,2%
MI,Age,2812,40-49,16%,43%,51%,4%,1%,1%
MI,Age,2812,50-64,30%,44%,52%,3%,1%,N/A
MI,Age,2812,65 and older,19%,47%,51%,1%,0%,1%
MI,Age,2812,18-44,42%,51%,41%,5%,2%,1%
MI,Age,2812,45 and older,58%,45%,52%,3%,1%,N/A
MI,Race,2812,White,75%,36%,57%,5%,1%,1%
MI,Race,2812,Black,15%,92%,6%,0%,1%,1%
MI,Race,2812,Latino,5%,59%,38%,2%,2%,N/A
MI,Race,2812,Asian,2%,N/A,N/A,N/A,N/A,N/A
MI,Race,2812,Other race,3%,N/A,N/A,N/A,N/A,N/A
MI,Race,2812,White,75%,36%,57%,5%,1%,1%
MI,Race,2812,Non-white,25%,80%,17%,1%,1%,1%
MI,Race and gender,2812,White men,36%,29%,64%,5%,1%,1%
MI,Race and gender,2812,White women,40%,43%,51%,4%,1%,1%
MI,Race and gender,2812,Black men,7%,88%,9%,0%,1%,2%
MI,Race and gender,2812,Black women,8%,96%,3%,1%,N/A,N/A
MI,Race and gender,2812,Latino men,3%,N/A,N/A,N/A,N/A,N/A
MI,Race and gender,2812,Latino women,2%,N/A,N/A,N/A,N/A,N/A
MI,Race and gender,2812,Others,5%,63%,32%,2%,2%,1%
MI,Education,2812,High school or less,20%,46%,49%,5%
MI,Education,2812,Some college,38%,45%,49%,6%
MI,Education,2812,College graduate,28%,45%,50%,5%
MI,Education,2812,Postgraduate,15%,61%,33%,6%
MI,Are you a college graduate?,2812,Yes,42%,50%,44%,6%
MI,Are you a college graduate?,2812,No,58%,45%,49%,6%
MI,Education and race,2812,White college graduates,33%,43%,51%,4%,1%,1%
MI,Education and race,2812,Whites no degree,42%,31%,62%,5%,1%,1%
MI,Education and race,2812,Non-whites college grads,9%,77%,21%,0%,1%,1%
MI,Education and race,2812,Non-whites no degree,16%,84%,14%,1%,1%,N/A
MI,Education among whites by sex,2812,White college-grad women,17%,50%,44%,4%,2%,N/A
MI,Education among whites by sex,2812,White non-college women,22%,38%,57%,4%,1%,N/A
MI,Education among whites by sex,2812,White college-grad men,16%,36%,58%,4%,1%,1%
MI,Education among whites by sex,2812,White non-college men,20%,24%,68%,6%,1%,1%
MI,Education among whites by sex,2812,Non-whites,24%,81%,16%,1%,1%,1%
MI,Income,2812,"Under $30,000",22%,62%,32%,4%,2%,N/A
MI,Income,2812,"$30K-$49,999",22%,44%,52%,2%,2%,N/A
MI,Income,2812,"$50K-$99,999",35%,43%,51%,5%,1%,N/A
MI,Income,2812,"$100K-$199,999",17%,43%,51%,4%,1%,1%
MI,Income,2812,"$200K-$249,999",1%,N/A,N/A,N/A,N/A,N/A
MI,Income,2812,"$250,000 or more",2%,N/A,N/A,N/A,N/A,N/A
MI,Income,2812,Under $50K,45%,53%,42%,3%,2%,N/A
MI,Income,2812,$50K-$100K,35%,43%,51%,5%,1%,N/A
MI,Income,2812,$100K or more,21%,43%,51%,4%,1%,1%
MI,Income,2812,Under $50K,45%,53%,42%,5%
MI,Income,2812,$50K or more,55%,43%,51%,6%
MI,Income,2812,Under $100K,79%,49%,46%,5%
MI,Income,2812,$100K or more,21%,43%,51%,6%
MI,Party ID,2812,Democrats,40%,88%,9%,2%,1%,N/A
MI,Party ID,2812,Republicans,31%,7%,90%,2%,0%,1%
MI,Party ID,2812,Independents,29%,36%,52%,7%,3%,2%
MI,Party by gender,2812,Democratic men,15%,86%,9%,4%,1%,N/A
MI,Party by gender,2812,Democratic women,24%,88%,10%,1%,1%,N/A
MI,Party by gender,2812,Republican men,16%,7%,90%,2%,0%,1%
MI,Party by gender,2812,Republican women,15%,8%,90%,2%,0%,N/A
MI,Party by gender,2812,Independent men,16%,33%,56%,7%,3%,1%
MI,Party by gender,2812,Independent women,13%,40%,47%,9%,4%,N/A
MI,Ideology,2812,Liberal,27%,81%,14%,3%,2%,N/A
MI,Ideology,2812,Moderate,37%,52%,42%,5%,1%,N/A
MI,Ideology,2812,Conservative,36%,17%,79%,3%,0%,1%
MI,Union household?,2812,Yes,28%,53%,40%,5%,1%,1%
MI,Union household?,2812,No,72%,48%,47%,3%,1%,1%
MI,Religion,2812,Protestant,49%,39%,55%,3%,1%,2%
MI,Religion,2812,Catholic,24%,39%,57%,4%,0%,N/A
MI,Religion,2812,Jewish,2%,N/A,N/A,N/A,N/A,N/A
MI,Religion,2812,Another religion,10%,N/A,N/A,N/A,N/A,N/A
MI,Religion,2812,No religion,16%,59%,30%,8%,3%,N/A
MI,How often do you attend religious services?,2812,Weekly or more,34%,39%,57%,3%,0%,1%
MI,How often do you attend religious services?,2812,Monthly,16%,44%,50%,5%,1%,N/A
MI,How often do you attend religious services?,2812,Few times a year,28%,51%,46%,2%,1%,N/A
MI,How often do you attend religious services?,2812,Never,21%,52%,37%,8%,3%,N/A
MI,How often do you attend religious services?,2812,Monthly or more,51%,41%,55%,4%
MI,How often do you attend religious services?,2812,Less often than that,49%,51%,42%,7%
MI,White born-again or evangelical Christian?,2812,Yes,27%,14%,81%,5%
MI,White born-again or evangelical Christian?,2812,No,73%,58%,36%,6%
MI,Marital status,2812,Married,59%,39%,56%,5%
MI,Marital status,2812,Unmarried,41%,58%,35%,7%
MI,Marital status by gender,2812,Married men,32%,35%,62%,2%,0%,1%
MI,Marital status by gender,2812,Married women,27%,44%,49%,5%,1%,1%
MI,Marital status by gender,2812,Unmarried men,19%,54%,37%,6%,3%,N/A
MI,Marital status by gender,2812,Unmarried women,22%,62%,34%,2%,1%,1%
MI,When did you decide presidential vote?,2812,Last few days,9%,N/A,N/A,N/A,N/A,N/A
MI,When did you decide presidential vote?,2812,Last week,4%,N/A,N/A,N/A,N/A,N/A
MI,When did you decide presidential vote?,2812,In October,13%,35%,55%,7%,3%,N/A
MI,When did you decide presidential vote?,2812,In September,11%,N/A,N/A,N/A,N/A,N/A
MI,When did you decide presidential vote?,2812,Before September,61%,52%,46%,2%,1%,N/A
MI,When did you decide presidential vote?,2812,In the last week,13%,39%,50%,6%,4%,1%
MI,When did you decide presidential vote?,2812,Before that,84%,48%,48%,3%,1%,N/A
MI,When did you decide presidential vote?,2812,In the last month,26%,37%,52%,7%,3%,1%
MI,When did you decide presidential vote?,2812,Before that,71%,50%,47%,3%,1%,N/A
