state,poll_type,sample_size,demographic,percentage,clinton,trump,other1,other2,other3
MN,Gender,1636,Male,47%,43%,49%,8%
MN,Gender,1636,Female,53%,50%,43%,7%
MN,Age,1636,18-29,19%,45%,42%,8%,3%,2%
MN,Age,1636,30-44,27%,53%,39%,5%,2%,1%
MN,Age,1636,45-64,39%,42%,52%,3%,1%,2%
MN,Age,1636,65 and older,15%,49%,47%,2%,0%,2%
MN,Age,1636,18-24,10%,43%,48%,5%,1%,3%
MN,Age,1636,25-29,9%,47%,36%,10%,4%,3%
MN,Age,1636,30-39,18%,52%,38%,6%,2%,2%
MN,Age,1636,40-49,19%,49%,45%,3%,1%,2%
MN,Age,1636,50-64,29%,41%,53%,2%,1%,3%
MN,Age,1636,65 and older,15%,49%,47%,2%,0%,2%
MN,Age,1636,18-44,46%,50%,40%,6%,2%,2%
MN,Age,1636,45 and older,54%,44%,51%,2%,1%,2%
MN,Race,1636,White,87%,43%,50%,7%
MN,Race,1636,Black,4%,N/A,N/A,N/A
MN,Race,1636,Latino,4%,N/A,N/A,N/A
MN,Race,1636,Asian,2%,N/A,N/A,N/A
MN,Race,1636,Other race,3%,N/A,N/A,N/A
MN,Race,1636,White,87%,43%,50%,7%
MN,Race,1636,Non-white,13%,71%,22%,7%
MN,Race and gender,1636,White men,41%,39%,53%,5%,1%,2%
MN,Race and gender,1636,White women,46%,46%,47%,3%,1%,3%
MN,Race and gender,1636,Black men,2%,N/A,N/A,N/A,N/A,N/A
MN,Race and gender,1636,Black women,2%,N/A,N/A,N/A,N/A,N/A
MN,Race and gender,1636,Latino men,2%,N/A,N/A,N/A,N/A,N/A
MN,Race and gender,1636,Latino women,2%,N/A,N/A,N/A,N/A,N/A
MN,Race and gender,1636,Others,5%,N/A,N/A,N/A,N/A,N/A
MN,Education,1636,High school or less,12%,38%,55%,3%,1%,3%
MN,Education,1636,Some college,32%,38%,55%,4%,1%,2%
MN,Education,1636,College graduate,36%,47%,45%,5%,2%,1%
MN,Education,1636,Postgraduate,20%,64%,27%,4%,1%,4%
MN,Are you a college graduate?,1636,Yes,56%,53%,39%,8%
MN,Are you a college graduate?,1636,No,44%,38%,55%,7%
MN,Education and race,1636,White college graduates,50%,50%,41%,5%,1%,3%
MN,Education and race,1636,Whites no degree,37%,33%,60%,3%,1%,3%
MN,Education and race,1636,Non-whites college grads,6%,76%,19%,N/A,3%,2%
MN,Education and race,1636,Non-whites no degree,7%,65%,26%,6%,3%,N/A
MN,Education among whites by sex,1636,White college-grad women,28%,54%,39%,4%,1%,2%
MN,Education among whites by sex,1636,White non-college women,19%,36%,58%,3%,0%,3%
MN,Education among whites by sex,1636,White college-grad men,22%,46%,45%,6%,1%,2%
MN,Education among whites by sex,1636,White non-college men,19%,30%,63%,3%,1%,3%
MN,Education among whites by sex,1636,Non-whites,13%,70%,23%,3%,3%,1%
MN,Income,1636,"Under $30,000",13%,46%,45%,5%,1%,3%
MN,Income,1636,"$30K-$49,999",15%,45%,45%,5%,3%,2%
MN,Income,1636,"$50K-$99,999",34%,45%,48%,3%,1%,3%
MN,Income,1636,"$100K-$199,999",26%,51%,40%,4%,1%,4%
MN,Income,1636,"$200K-$249,999",5%,N/A,N/A,N/A,N/A,N/A
MN,Income,1636,"$250,000 or more",7%,N/A,N/A,N/A,N/A,N/A
MN,Income,1636,Under $50K,29%,45%,45%,5%,2%,3%
MN,Income,1636,$50K-$100K,34%,45%,48%,3%,1%,3%
MN,Income,1636,$100K or more,37%,52%,41%,4%,1%,2%
MN,Income,1636,Under $50K,29%,45%,45%,5%,2%,3%
MN,Income,1636,$50K or more,71%,49%,44%,4%,1%,2%
MN,Income,1636,Under $100K,63%,45%,47%,8%
MN,Income,1636,$100K or more,37%,52%,41%,7%
MN,Party ID,1636,Democrats,37%,87%,10%,2%,1%,N/A
MN,Party ID,1636,Republicans,35%,7%,86%,3%,1%,3%
MN,Party ID,1636,Independents,28%,42%,44%,7%,3%,4%
MN,Party by gender,1636,Democratic men,15%,85%,11%,2%,1%,1%
MN,Party by gender,1636,Democratic women,23%,88%,9%,2%,1%,N/A
MN,Party by gender,1636,Republican men,17%,5%,88%,4%,1%,2%
MN,Party by gender,1636,Republican women,17%,10%,84%,3%,1%,2%
MN,Party by gender,1636,Independent men,15%,46%,42%,7%,2%,3%
MN,Party by gender,1636,Independent women,13%,37%,47%,7%,3%,6%
MN,Ideology,1636,Liberal,28%,88%,7%,2%,2%,1%
MN,Ideology,1636,Moderate,40%,48%,43%,5%,1%,3%
MN,Ideology,1636,Conservative,32%,11%,82%,4%,0%,3%
MN,Marital status,1636,Married,63%,47%,46%,3%,1%,3%
MN,Marital status,1636,Unmarried,37%,48%,44%,5%,2%,1%
MN,Marital status by gender,1636,Married men,30%,43%,50%,3%,1%,3%
MN,Marital status by gender,1636,Married women,34%,51%,42%,3%,1%,3%
MN,Marital status by gender,1636,Unmarried men,17%,44%,48%,5%,2%,1%
MN,Marital status by gender,1636,Unmarried women,20%,52%,40%,4%,3%,1%
MN,When did you decide presidential vote?,1636,Last few days,13%,35%,48%,10%,3%,4%
MN,When did you decide presidential vote?,1636,Last week,7%,N/A,N/A,N/A,N/A,N/A
MN,When did you decide presidential vote?,1636,In October,9%,37%,47%,9%,2%,5%
MN,When did you decide presidential vote?,1636,In September,8%,N/A,N/A,N/A,N/A,N/A
MN,When did you decide presidential vote?,1636,Before September,63%,56%,40%,2%,1%,1%
MN,When did you decide presidential vote?,1636,In the last week,20%,31%,53%,8%,3%,5%
MN,When did you decide presidential vote?,1636,Before that,79%,53%,42%,3%,1%,1%
MN,When did you decide presidential vote?,1636,In the last month,29%,33%,51%,8%,3%,5%
MN,When did you decide presidential vote?,1636,Before that,71%,54%,41%,2%,1%,2%
MN,Opinion of presidential candidate you voted for,1636,Strongly favor ,42%,53%,40%,3%,1%,3%
MN,Opinion of presidential candidate you voted for,1636,Have reservations,33%,47%,49%,3%,1%,N/A
MN,Opinion of presidential candidate you voted for,1636,Dislike opponents,23%,40%,43%,10%,3%,4%
MN,Most important issue facing the country,1636,Foreign policy,11%,70%,19%,5%,3%,3%
MN,Most important issue facing the country,1636,Immigration,13%,22%,73%,2%,1%,2%
MN,Most important issue facing the country,1636,Economy,54%,51%,42%,4%,1%,2%
MN,Most important issue facing the country,1636,Terrorism,18%,41%,51%,4%,1%,3%
MN,Which candidate quality mattered most?,1636,Cares about me,13%,59%,28%,7%,4%,2%
MN,Which candidate quality mattered most?,1636,Can bring change,44%,11%,84%,3%,1%,1%
MN,Which candidate quality mattered most?,1636,Right experience,21%,94%,4%,N/A,1%,1%
MN,Which candidate quality mattered most?,1636,Good judgment,20%,70%,14%,9%,1%,6%
MN,Does the country's criminal justice system:,1636,Treat all fairly,47%,23%,70%,7%
MN,Does the country's criminal justice system:,1636,Treat blacks unfairly,47%,76%,16%,8%
MN,View on Obamacare,1636,Did not go far enough,32%,83%,12%,2%,3%,N/A
MN,View on Obamacare,1636,Was about right,14%,86%,11%,3%,0%,N/A
MN,View on Obamacare,1636,Went too far,50%,16%,75%,5%,1%,3%
MN,Opinion of Hillary Clinton,1636,Favorable,44%,96%,3%,1%,0%,N/A
MN,Opinion of Hillary Clinton,1636,Unfavorable,55%,10%,78%,6%,2%,4%
