state,poll_type,sample_size,demographic,percentage,clinton,trump,other1,other2,other3
NC,Gender,4297,Male,46%,39%,56%,5%
NC,Gender,4297,Female,54%,53%,45%,2%
NC,Age,4297,18-29,18%,58%,35%,6%,1%
NC,Age,4297,30-44,26%,50%,46%,5%,N/A
NC,Age,4297,45-64,38%,44%,55%,1%,N/A
NC,Age,4297,65 and older,18%,37%,60%,2%,1%
NC,Age,4297,18-24,10%,59%,35%,5%,1%
NC,Age,4297,25-29,8%,56%,35%,6%,3%
NC,Age,4297,30-39,17%,50%,45%,6%,N/A
NC,Age,4297,40-49,19%,45%,53%,2%,N/A
NC,Age,4297,50-64,27%,45%,54%,1%,N/A
NC,Age,4297,65 and older,18%,37%,60%,2%,1%
NC,Age,4297,18-44,44%,53%,41%,5%,1%
NC,Age,4297,45 and older,56%,42%,57%,1%,N/A
NC,Race,4297,White,70%,33%,63%,4%
NC,Race,4297,Black,20%,90%,8%,2%
NC,Race,4297,Latino,5%,59%,39%,2%
NC,Race,4297,Asian,1%,N/A,N/A,N/A
NC,Race,4297,Other race,3%,57%,40%,3%
NC,Race,4297,White,70%,33%,63%,4%
NC,Race,4297,Non-white,30%,80%,18%,2%
NC,Race and gender,4297,White men,33%,27%,68%,5%,N/A
NC,Race and gender,4297,White women,37%,38%,60%,2%,N/A
NC,Race and gender,4297,Black men,9%,82%,14%,4%,N/A
NC,Race and gender,4297,Black women,11%,95%,3%,1%,1%
NC,Race and gender,4297,Latino men,2%,N/A,N/A,N/A,N/A
NC,Race and gender,4297,Latino women,3%,71%,27%,2%,N/A
NC,Race and gender,4297,Others,4%,59%,39%,2%,N/A
NC,Education,4297,High school or less,18%,45%,53%,1%,1%
NC,Education,4297,Some college,32%,43%,52%,5%,N/A
NC,Education,4297,College graduate,33%,48%,50%,2%,N/A
NC,Education,4297,Postgraduate,17%,53%,44%,2%,1%
NC,Are you a college graduate?,4297,Yes,50%,50%,48%,2%
NC,Are you a college graduate?,4297,No,50%,43%,52%,5%
NC,Education and race,4297,White college graduates,37%,40%,58%,2%,N/A
NC,Education and race,4297,Whites no degree,33%,25%,69%,5%,1%
NC,Education and race,4297,Non-whites college grads,13%,80%,17%,3%,N/A
NC,Education and race,4297,Non-whites no degree,17%,79%,19%,2%,N/A
NC,Education among whites by sex,4297,White college-grad women,19%,46%,52%,2%,N/A
NC,Education among whites by sex,4297,White non-college women,18%,29%,67%,2%,2%
NC,Education among whites by sex,4297,White college-grad men,18%,33%,65%,2%,N/A
NC,Education among whites by sex,4297,White non-college men,16%,21%,71%,7%,1%
NC,Education among whites by sex,4297,Non-whites,30%,80%,18%,2%,N/A
NC,Income,4297,"Under $30,000",19%,57%,36%,5%,2%
NC,Income,4297,"$30K-$49,999",19%,56%,40%,4%,N/A
NC,Income,4297,"$50K-$99,999",32%,49%,49%,1%,1%
NC,Income,4297,"$100K-$199,999",23%,37%,62%,1%,N/A
NC,Income,4297,"$200K-$249,999",4%,N/A,N/A,N/A,N/A
NC,Income,4297,"$250,000 or more",3%,N/A,N/A,N/A,N/A
NC,Income,4297,Under $50K,38%,56%,38%,6%
NC,Income,4297,$50K-$100K,32%,49%,49%,2%
NC,Income,4297,$100K or more,30%,39%,60%,1%
NC,Income,4297,Under $50K,38%,56%,38%,6%
NC,Income,4297,$50K or more,62%,44%,54%,2%
NC,Income,4297,Under $100K,70%,53%,43%,4%
NC,Income,4297,$100K or more,30%,39%,60%,1%
NC,Party ID,4297,Democrats,36%,91%,8%,1%,N/A
NC,Party ID,4297,Republicans,31%,4%,94%,1%,1%
NC,Party ID,4297,Independents,33%,39%,54%,7%,N/A
NC,Party by gender,4297,Democratic men,12%,89%,10%,1%,N/A
NC,Party by gender,4297,Democratic women,23%,92%,7%,0%,1%
NC,Party by gender,4297,Republican men,16%,5%,94%,1%,N/A
NC,Party by gender,4297,Republican women,16%,4%,95%,1%,N/A
NC,Party by gender,4297,Independent men,18%,34%,56%,9%,1%
NC,Party by gender,4297,Independent women,15%,44%,51%,5%,N/A
NC,Ideology,4297,Liberal,23%,87%,8%,4%,1%
NC,Ideology,4297,Moderate,35%,58%,37%,5%,N/A
NC,Ideology,4297,Conservative,43%,15%,83%,1%,1%
NC,White born-again or evangelical Christian?,4297,Yes,38%,17%,81%,2%
NC,White born-again or evangelical Christian?,4297,No,62%,65%,32%,3%
NC,Marital status,4297,Married,61%,40%,59%,1%,N/A
NC,Marital status,4297,Unmarried,39%,56%,38%,6%,N/A
NC,Marital status by gender,4297,Married men,30%,32%,66%,1%,1%
NC,Marital status by gender,4297,Married women,31%,47%,51%,2%,N/A
NC,Marital status by gender,4297,Unmarried men,17%,48%,43%,8%,1%
NC,Marital status by gender,4297,Unmarried women,21%,62%,33%,3%,2%
NC,Parent?,4297,Yes,36%,50%,48%,2%
NC,Parent?,4297,No,64%,46%,51%,3%
NC,Parents by gender,4297,Fathers,18%,38%,61%,0%,1%
NC,Parents by gender,4297,Mothers,18%,61%,35%,4%,N/A
NC,Parents by gender,4297,Men without children,29%,38%,56%,5%,1%
NC,Parents by gender,4297,Women without children,36%,52%,47%,1%,N/A
NC,Married with children?,4297,Yes,27%,44%,54%,2%
NC,Married with children?,4297,No,73%,49%,48%,3%
NC,Served in the U.S. military,4297,Veterans,15%,33%,58%,8%,1%
NC,Served in the U.S. military,4297,Non-veterans,85%,48%,49%,3%,N/A
NC,When did you decide presidential vote?,4297,Last few days,5%,44%,49%,7%,N/A
NC,When did you decide presidential vote?,4297,Last week,3%,N/A,N/A,N/A,N/A
NC,When did you decide presidential vote?,4297,In October,18%,33%,61%,4%,2%
NC,When did you decide presidential vote?,4297,In September,13%,57%,42%,1%,N/A
NC,When did you decide presidential vote?,4297,Before September,59%,51%,48%,1%,N/A
NC,When did you decide presidential vote?,4297,In the last week,7%,41%,49%,10%,N/A
NC,When did you decide presidential vote?,4297,Before that,90%,48%,50%,2%,N/A
NC,When did you decide presidential vote?,4297,In the last month,25%,35%,57%,6%,2%
NC,When did you decide presidential vote?,4297,Before that,72%,52%,47%,1%,N/A
NC,Opinion of presidential candidate you voted for,4297,Strongly favor ,41%,52%,46%,2%,N/A
NC,Opinion of presidential candidate you voted for,4297,Have reservations,28%,51%,48%,1%,N/A
NC,Opinion of presidential candidate you voted for,4297,Dislike opponents,29%,38%,55%,6%,1%
