state,poll_type,sample_size,demographic,percentage,clinton,trump,other1,other2,other3
NH,Gender,2800,Male,48%,40%,53%,6%,1%,N/A
NH,Gender,2800,Female,52%,54%,41%,3%,1%,1%
NH,Age,2800,18-29,21%,49%,41%,8%,1%,1%
NH,Age,2800,30-44,21%,47%,43%,7%,2%,1%
NH,Age,2800,45-64,42%,46%,51%,3%,1%,N/A
NH,Age,2800,65 and older,16%,49%,49%,1%,0%,1%
NH,Age,2800,18-24,12%,46%,44%,8%,1%,1%
NH,Age,2800,25-29,9%,52%,37%,8%,2%,1%
NH,Age,2800,30-39,13%,50%,40%,9%,1%,N/A
NH,Age,2800,40-49,17%,42%,51%,5%,2%,N/A
NH,Age,2800,50-64,32%,47%,50%,2%,1%,N/A
NH,Age,2800,65 and older,16%,49%,49%,1%,0%,1%
NH,Age,2800,18-44,42%,48%,42%,8%,2%,N/A
NH,Age,2800,45 and older,58%,47%,50%,2%,1%,N/A
NH,Race,2800,White,92%,46%,48%,6%
NH,Race,2800,Black,1%,N/A,N/A,N/A
NH,Race,2800,Latino,4%,N/A,N/A,N/A
NH,Race,2800,Asian,1%,N/A,N/A,N/A
NH,Race,2800,Other race,2%,N/A,N/A,N/A
NH,Race,2800,White,92%,46%,48%,4%,1%,1%
NH,Race,2800,Non-white,8%,58%,33%,5%,3%,1%
NH,Race and gender,2800,White men,45%,39%,54%,5%,1%,1%
NH,Race and gender,2800,White women,47%,53%,42%,3%,1%,1%
NH,Race and gender,2800,Black men,1%,N/A,N/A,N/A,N/A,N/A
NH,Race and gender,2800,Black women,1%,N/A,N/A,N/A,N/A,N/A
NH,Race and gender,2800,Latino men,2%,N/A,N/A,N/A,N/A,N/A
NH,Race and gender,2800,Latino women,2%,N/A,N/A,N/A,N/A,N/A
NH,Race and gender,2800,Others,3%,N/A,N/A,N/A,N/A,N/A
NH,Education,2800,High school or less,13%,37%,58%,4%,1%,N/A
NH,Education,2800,Some college,31%,41%,53%,5%,1%,N/A
NH,Education,2800,College graduate,32%,47%,48%,4%,1%,N/A
NH,Education,2800,Postgraduate,23%,65%,29%,4%,1%,1%
NH,Are you a college graduate?,2800,Yes,56%,54%,40%,4%,1%,1%
NH,Are you a college graduate?,2800,No,44%,39%,55%,5%,1%,N/A
NH,Education and race,2800,White college graduates,51%,54%,41%,4%,1%,N/A
NH,Education and race,2800,Whites no degree,41%,38%,56%,4%,1%,1%
NH,Education and race,2800,Non-whites college grads,5%,58%,32%,6%,4%,N/A
NH,Education and race,2800,Non-whites no degree,3%,N/A,N/A,N/A,N/A,N/A
NH,Education among whites by sex,2800,White college-grad women,28%,61%,35%,2%,1%,1%
NH,Education among whites by sex,2800,White non-college women,21%,42%,53%,4%,1%,N/A
NH,Education among whites by sex,2800,White college-grad men,24%,46%,47%,6%,1%,N/A
NH,Education among whites by sex,2800,White non-college men,20%,34%,60%,4%,1%,1%
NH,Education among whites by sex,2800,Non-whites,8%,58%,33%,6%,3%,N/A
NH,Income,2800,"Under $30,000",12%,N/A,N/A,N/A,N/A,N/A
NH,Income,2800,"$30K-$49,999",15%,47%,45%,4%,4%,N/A
NH,Income,2800,"$50K-$99,999",34%,50%,46%,4%,0%,N/A
NH,Income,2800,"$100K-$199,999",31%,47%,48%,5%,0%,N/A
NH,Income,2800,"$200K-$249,999",6%,N/A,N/A,N/A,N/A,N/A
NH,Income,2800,"$250,000 or more",3%,N/A,N/A,N/A,N/A,N/A
NH,Income,2800,Under $50K,27%,51%,43%,6%
NH,Income,2800,$50K-$100K,34%,50%,46%,4%
NH,Income,2800,$100K or more,39%,48%,47%,5%
NH,Income,2800,Under $50K,27%,51%,43%,6%
NH,Income,2800,$50K or more,73%,49%,47%,4%
NH,Income,2800,Under $100K,61%,50%,44%,6%
NH,Income,2800,$100K or more,39%,48%,47%,5%
NH,Party ID,2800,Democrats,28%,93%,5%,1%,1%,N/A
NH,Party ID,2800,Republicans,28%,7%,89%,3%,0%,1%
NH,Party ID,2800,Independents,44%,45%,45%,7%,2%,1%
