state,poll_type,sample_size,demographic,percentage,clinton,trump,other1,other2,other3
NM,Gender,2014,Male,47%,42%,44%,12%,1%,1%
NM,Gender,2014,Female,53%,54%,36%,7%,1%,2%
NM,Age,2014,18-29,19%,52%,27%,17%,2%,2%
NM,Age,2014,30-44,26%,48%,38%,11%,2%,1%
NM,Age,2014,45-64,36%,45%,46%,7%,1%,1%
NM,Age,2014,65 and older,19%,53%,42%,4%,1%,N/A
NM,Age,2014,18-24,12%,53%,26%,16%,2%,3%
NM,Age,2014,25-29,8%,49%,29%,19%,2%,1%
NM,Age,2014,30-39,17%,45%,37%,15%,2%,1%
NM,Age,2014,40-49,17%,48%,44%,6%,1%,1%
NM,Age,2014,50-64,27%,46%,46%,6%,1%,1%
NM,Age,2014,65 and older,19%,53%,42%,4%,1%,N/A
NM,Age,2014,18-44,45%,49%,34%,14%,2%,1%
NM,Age,2014,45 and older,55%,48%,45%,6%,1%,N/A
NM,Race,2014,White,49%,42%,47%,8%,2%,1%
NM,Race,2014,Black,1%,N/A,N/A,N/A,N/A,N/A
NM,Race,2014,Latino,40%,54%,33%,11%,1%,1%
NM,Race,2014,Asian,1%,N/A,N/A,N/A,N/A,N/A
NM,Race,2014,Other race,9%,53%,33%,12%,0%,2%
NM,Race,2014,White,49%,42%,47%,8%,2%,1%
NM,Race,2014,Non-white,51%,55%,32%,11%,1%,1%
NM,Race and gender,2014,White men,24%,38%,48%,10%,2%,2%
NM,Race and gender,2014,White women,25%,45%,46%,6%,1%,2%
NM,Race and gender,2014,Black men,1%,N/A,N/A,N/A,N/A,N/A
NM,Race and gender,2014,Black women,0%,N/A,N/A,N/A,N/A,N/A
NM,Race and gender,2014,Latino men,17%,45%,39%,14%,1%,1%
NM,Race and gender,2014,Latino women,23%,61%,28%,8%,2%,1%
NM,Race and gender,2014,Others,10%,54%,32%,12%,1%,1%
NM,Education,2014,High school or less,17%,49%,42%,8%,0%,1%
NM,Education,2014,Some college,34%,43%,43%,11%,2%,1%
NM,Education,2014,College graduate,28%,47%,41%,9%,2%,1%
NM,Education,2014,Postgraduate,21%,57%,32%,8%,0%,3%
NM,Are you a college graduate?,2014,Yes,49%,51%,37%,9%,2%,1%
NM,Are you a college graduate?,2014,No,51%,45%,43%,10%,1%,1%
NM,Education and race,2014,White college graduates,29%,51%,38%,8%,2%,1%
NM,Education and race,2014,Whites no degree,21%,30%,60%,8%,1%,1%
NM,Education and race,2014,Non-whites college grads,20%,52%,36%,10%,1%,1%
NM,Education and race,2014,Non-whites no degree,31%,56%,30%,11%,1%,2%
NM,Education among whites by sex,2014,White college-grad women,14%,55%,37%,5%,1%,2%
NM,Education among whites by sex,2014,White non-college women,11%,34%,57%,7%,1%,1%
NM,Education among whites by sex,2014,White college-grad men,15%,47%,38%,10%,2%,3%
NM,Education among whites by sex,2014,White non-college men,10%,25%,64%,9%,2%,N/A
NM,Education among whites by sex,2014,Non-whites,50%,54%,33%,11%,1%,1%
NM,Income,2014,"Under $30,000",25%,54%,30%,14%,1%,1%
NM,Income,2014,"$30K-$49,999",20%,50%,38%,10%,2%,N/A
NM,Income,2014,"$50K-$99,999",30%,44%,46%,9%,1%,N/A
NM,Income,2014,"$100K-$199,999",21%,47%,43%,6%,1%,3%
NM,Income,2014,"$200K-$249,999",2%,N/A,N/A,N/A,N/A,N/A
NM,Income,2014,"$250,000 or more",2%,N/A,N/A,N/A,N/A,N/A
NM,Income,2014,Under $50K,45%,52%,33%,12%,1%,2%
NM,Income,2014,$50K-$100K,30%,44%,46%,9%,1%,N/A
NM,Income,2014,$100K or more,25%,47%,43%,6%,1%,3%
NM,Income,2014,Under $50K,45%,52%,33%,12%,1%,2%
NM,Income,2014,$50K or more,55%,45%,45%,7%,1%,2%
NM,Income,2014,Under $100K,75%,49%,38%,11%,1%,1%
NM,Income,2014,$100K or more,25%,47%,43%,6%,1%,3%
NM,Party ID,2014,Democrats,41%,85%,8%,6%,1%,N/A
NM,Party ID,2014,Republicans,27%,6%,86%,6%,1%,1%
NM,Party ID,2014,Independents,32%,37%,42%,16%,2%,3%
NM,Party by gender,2014,Democratic men,16%,82%,10%,7%,1%,N/A
NM,Party by gender,2014,Democratic women,25%,88%,6%,5%,1%,N/A
NM,Party by gender,2014,Republican men,12%,6%,84%,8%,1%,1%
NM,Party by gender,2014,Republican women,15%,6%,88%,5%,0%,1%
NM,Party by gender,2014,Independent men,19%,30%,47%,18%,2%,3%
NM,Party by gender,2014,Independent women,13%,46%,34%,14%,3%,3%
NM,Ideology,2014,Liberal,29%,82%,9%,6%,2%,1%
NM,Ideology,2014,Moderate,38%,51%,33%,14%,1%,1%
NM,Ideology,2014,Conservative,34%,15%,75%,7%,1%,2%
NM,Marital status,2014,Married,54%,41%,47%,9%,1%,2%
NM,Marital status,2014,Unmarried,46%,57%,30%,10%,2%,1%
NM,Marital status by gender,2014,Married men,26%,36%,52%,10%,1%,1%
NM,Marital status by gender,2014,Married women,27%,45%,43%,9%,1%,2%
NM,Marital status by gender,2014,Unmarried men,22%,45%,39%,13%,2%,1%
NM,Marital status by gender,2014,Unmarried women,24%,69%,21%,7%,1%,2%
NM,When did you decide presidential vote?,2014,Last few days,10%,40%,50%,8%,2%,N/A
NM,When did you decide presidential vote?,2014,Last week,4%,N/A,N/A,N/A,N/A,N/A
NM,When did you decide presidential vote?,2014,In October,14%,34%,37%,22%,4%,3%
NM,When did you decide presidential vote?,2014,In September,12%,N/A,N/A,N/A,N/A,N/A
NM,When did you decide presidential vote?,2014,Before September,58%,53%,39%,7%,1%,N/A
NM,When did you decide presidential vote?,2014,In the last week,14%,41%,46%,10%,2%,1%
NM,When did you decide presidential vote?,2014,Before that,84%,49%,39%,9%,1%,2%
NM,When did you decide presidential vote?,2014,In the last month,28%,37%,41%,16%,3%,3%
NM,When did you decide presidential vote?,2014,Before that,70%,52%,40%,7%,1%,N/A
NM,Opinion of presidential candidate you voted for,2014,Strongly favor ,43%,52%,39%,8%,1%,N/A
