state,poll_type,sample_size,demographic,percentage,clinton,trump,other1,other2,other3
OH,Gender,3397,Male,47%,37%,58%,5%
OH,Gender,3397,Female,53%,50%,46%,4%
OH,Age,3397,18-29,18%,50%,41%,6%,1%,2%
OH,Age,3397,30-44,24%,43%,51%,5%,1%,N/A
OH,Age,3397,45-64,39%,41%,55%,2%,1%,1%
OH,Age,3397,65 and older,19%,44%,55%,0%,0%,1%
OH,Age,3397,18-24,10%,54%,39%,5%,0%,2%
OH,Age,3397,25-29,8%,46%,44%,7%,2%,1%
OH,Age,3397,30-39,16%,42%,50%,6%,1%,1%
OH,Age,3397,40-49,18%,40%,55%,4%,1%,N/A
OH,Age,3397,50-64,29%,42%,55%,2%,1%,N/A
OH,Age,3397,65 and older,19%,44%,55%,0%,0%,1%
OH,Age,3397,18-44,42%,46%,47%,6%,1%,N/A
OH,Age,3397,45 and older,58%,42%,55%,2%,1%,N/A
OH,Race,3397,White,80%,34%,61%,5%
OH,Race,3397,Black,14%,89%,8%,3%
OH,Race,3397,Latino,3%,68%,28%,4%
OH,Race,3397,Asian,1%,N/A,N/A,N/A
OH,Race,3397,Other race,2%,N/A,N/A,N/A
OH,Race,3397,White,80%,34%,61%,5%
OH,Race,3397,Non-white,20%,81%,15%,4%
OH,Race and gender,3397,White men,38%,27%,67%,4%,1%,1%
OH,Race and gender,3397,White women,42%,41%,55%,3%,1%,N/A
OH,Race and gender,3397,Black men,6%,85%,12%,2%,0%,1%
OH,Race and gender,3397,Black women,8%,93%,4%,2%,1%,N/A
OH,Race and gender,3397,Latino men,1%,N/A,N/A,N/A,N/A,N/A
OH,Race and gender,3397,Latino women,2%,N/A,N/A,N/A,N/A,N/A
OH,Race and gender,3397,Others,3%,56%,34%,7%,1%,2%
OH,Education,3397,High school or less,21%,48%,48%,4%
OH,Education,3397,Some college,35%,43%,53%,4%
OH,Education,3397,College graduate,28%,40%,54%,6%
OH,Education,3397,Postgraduate,16%,47%,48%,5%
OH,Are you a college graduate?,3397,Yes,44%,43%,52%,5%
OH,Are you a college graduate?,3397,No,56%,45%,51%,4%
OH,Education and race,3397,White college graduates,37%,35%,59%,6%
OH,Education and race,3397,Whites no degree,43%,34%,62%,4%
OH,Education and race,3397,Non-whites college grads,8%,78%,18%,4%
OH,Education and race,3397,Non-whites no degree,12%,83%,12%,5%
OH,Education among whites by sex,3397,White college-grad women,20%,41%,55%,2%,1%,1%
OH,Education among whites by sex,3397,White non-college women,22%,41%,55%,4%,0%,N/A
OH,Education among whites by sex,3397,White college-grad men,17%,29%,63%,5%,1%,2%
OH,Education among whites by sex,3397,White non-college men,21%,26%,70%,3%,0%,1%
OH,Education among whites by sex,3397,Non-whites,20%,81%,14%,3%,1%,1%
OH,Income,3397,"Under $30,000",17%,59%,34%,5%,1%,1%
OH,Income,3397,"$30K-$49,999",22%,47%,48%,3%,2%,N/A
OH,Income,3397,"$50K-$99,999",33%,42%,54%,4%,0%,N/A
OH,Income,3397,"$100K-$199,999",22%,39%,58%,1%,1%,1%
OH,Income,3397,"$200K-$249,999",3%,N/A,N/A,N/A,N/A,N/A
OH,Income,3397,"$250,000 or more",4%,N/A,N/A,N/A,N/A,N/A
OH,Income,3397,Under $50K,38%,52%,42%,6%
OH,Income,3397,$50K-$100K,33%,42%,54%,4%
OH,Income,3397,$100K or more,29%,38%,59%,3%
OH,Income,3397,Under $50K,38%,52%,42%,6%
OH,Income,3397,$50K or more,62%,40%,56%,4%
OH,Income,3397,Under $100K,71%,48%,47%,5%
OH,Income,3397,$100K or more,29%,38%,59%,3%
OH,Party ID,3397,Democrats,34%,87%,12%,1%,0%,N/A
OH,Party ID,3397,Republicans,37%,8%,89%,2%,0%,1%
OH,Party ID,3397,Independents,29%,38%,51%,8%,2%,1%
OH,Party by gender,3397,Democratic men,13%,83%,15%,1%,0%,1%
OH,Party by gender,3397,Democratic women,21%,90%,10%,1%,0%,N/A
OH,Party by gender,3397,Republican men,18%,8%,89%,3%,N/A,N/A
OH,Party by gender,3397,Republican women,19%,8%,90%,1%,0%,1%
OH,Party by gender,3397,Independent men,16%,31%,59%,7%,2%,1%
OH,Party by gender,3397,Independent women,13%,47%,42%,8%,2%,1%
OH,Ideology,3397,Liberal,21%,82%,13%,3%,1%,1%
OH,Ideology,3397,Moderate,41%,50%,43%,5%,1%,1%
OH,Ideology,3397,Conservative,38%,16%,81%,2%,0%,1%
OH,Religion,3397,Protestant,51%,38%,59%,3%,1%,N/A
OH,Religion,3397,Catholic,23%,38%,58%,3%,N/A,1%
OH,Religion,3397,Jewish,1%,N/A,N/A,N/A,N/A,N/A
OH,Religion,3397,Another religion,8%,N/A,N/A,N/A,N/A,N/A
OH,Religion,3397,No religion,16%,59%,34%,6%,1%,N/A
OH,White born-again or evangelical Christian?,3397,Yes,33%,21%,76%,3%
OH,White born-again or evangelical Christian?,3397,No,67%,56%,39%,5%
OH,Marital status,3397,Married,60%,37%,59%,4%
OH,Marital status,3397,Unmarried,40%,53%,42%,5%
