state,poll_type,sample_size,demographic,percentage,clinton,trump,other1,other2,other3
OR,Gender,1128,Male,49%,46%,44%,5%,3%,2%
OR,Gender,1128,Female,51%,55%,35%,4%,2%,4%
OR,Age,1128,18-29,15%,N/A,N/A,N/A,N/A,N/A
OR,Age,1128,30-44,25%,51%,40%,3%,4%,2%
OR,Age,1128,45-64,37%,50%,42%,5%,1%,2%
OR,Age,1128,65 and older,24%,46%,45%,3%,1%,5%
OR,Age,1128,18-24,7%,N/A,N/A,N/A,N/A,N/A
OR,Age,1128,25-29,8%,N/A,N/A,N/A,N/A,N/A
OR,Age,1128,30-39,17%,49%,40%,3%,6%,2%
OR,Age,1128,40-49,16%,51%,37%,10%,1%,1%
OR,Age,1128,50-64,28%,51%,45%,1%,1%,2%
OR,Age,1128,65 and older,24%,46%,45%,3%,1%,5%
OR,Age,1128,18-44,40%,54%,33%,5%,4%,4%
OR,Age,1128,45 and older,60%,49%,43%,4%,1%,3%
OR,Race,1128,White,82%,49%,42%,5%,1%,3%
OR,Race,1128,Black,1%,N/A,N/A,N/A,N/A,N/A
OR,Race,1128,Latino,9%,N/A,N/A,N/A,N/A,N/A
OR,Race,1128,Asian,4%,N/A,N/A,N/A,N/A,N/A
OR,Race,1128,Other race,4%,N/A,N/A,N/A,N/A,N/A
OR,Race,1128,White,82%,49%,42%,5%,1%,3%
OR,Race,1128,Non-white,18%,62%,24%,2%,5%,7%
OR,Race and gender,1128,White men,41%,44%,47%,5%,2%,2%
OR,Race and gender,1128,White women,42%,55%,38%,5%,1%,1%
OR,Race and gender,1128,Black men,0%,N/A,N/A,N/A,N/A,N/A
OR,Race and gender,1128,Black women,1%,N/A,N/A,N/A,N/A,N/A
OR,Race and gender,1128,Latino men,4%,N/A,N/A,N/A,N/A,N/A
OR,Race and gender,1128,Latino women,5%,N/A,N/A,N/A,N/A,N/A
OR,Race and gender,1128,Others,8%,N/A,N/A,N/A,N/A,N/A
OR,Education,1128,High school or less,17%,37%,57%,4%,0%,2%
OR,Education,1128,Some college,34%,46%,46%,4%,3%,1%
OR,Education,1128,College graduate,29%,54%,32%,7%,4%,3%
OR,Education,1128,Postgraduate,20%,65%,24%,3%,3%,5%
OR,Are you a college graduate?,1128,Yes,50%,59%,29%,5%,3%,4%
OR,Are you a college graduate?,1128,No,50%,43%,50%,4%,2%,1%
OR,Education and race,1128,White college graduates,42%,59%,30%,6%,2%,3%
OR,Education and race,1128,Whites no degree,40%,38%,55%,4%,1%,2%
OR,Education and race,1128,Non-whites college grads,7%,N/A,N/A,N/A,N/A,N/A
OR,Education and race,1128,Non-whites no degree,10%,N/A,N/A,N/A,N/A,N/A
OR,Education among whites by sex,1128,White college-grad women,22%,62%,30%,6%,0%,2%
OR,Education among whites by sex,1128,White non-college women,19%,45%,47%,4%,1%,3%
OR,Education among whites by sex,1128,White college-grad men,20%,56%,31%,6%,4%,3%
OR,Education among whites by sex,1128,White non-college men,21%,32%,62%,4%,0%,2%
OR,Education among whites by sex,1128,Non-whites,18%,62%,24%,2%,5%,7%
OR,Income,1128,"Under $30,000",20%,45%,40%,4%,6%,5%
OR,Income,1128,"$30K-$49,999",20%,47%,40%,4%,3%,6%
OR,Income,1128,"$50K-$99,999",33%,48%,44%,6%,1%,1%
OR,Income,1128,"$100K-$199,999",22%,56%,35%,7%,0%,2%
OR,Income,1128,"$200K-$249,999",3%,N/A,N/A,N/A,N/A,N/A
OR,Income,1128,"$250,000 or more",3%,N/A,N/A,N/A,N/A,N/A
OR,Income,1128,Under $50K,40%,46%,40%,4%,4%,6%
OR,Income,1128,$50K-$100K,33%,48%,44%,6%,1%,1%
OR,Income,1128,$100K or more,28%,55%,36%,6%,1%,2%
OR,Income,1128,Under $50K,40%,46%,40%,4%,4%,6%
OR,Income,1128,$50K or more,60%,51%,41%,6%,1%,1%
OR,Income,1128,Under $100K,72%,47%,42%,5%,3%,3%
OR,Income,1128,$100K or more,28%,55%,36%,6%,1%,2%
OR,Party ID,1128,Democrats,33%,92%,4%,1%,1%,2%
OR,Party ID,1128,Republicans,23%,7%,87%,5%,0%,1%
OR,Party ID,1128,Independents,44%,43%,41%,7%,4%,5%
OR,Party by gender,1128,Democratic men,14%,91%,5%,2%,3%,N/A
OR,Party by gender,1128,Democratic women,19%,93%,4%,1%,1%,1%
OR,Party by gender,1128,Republican men,11%,9%,86%,4%,0%,1%
OR,Party by gender,1128,Republican women,11%,6%,88%,5%,N/A,1%
OR,Party by gender,1128,Independent men,24%,38%,45%,7%,5%,5%
OR,Party by gender,1128,Independent women,20%,48%,35%,7%,3%,7%
OR,Ideology,1128,Liberal,34%,89%,5%,1%,3%,2%
OR,Ideology,1128,Moderate,36%,52%,34%,7%,2%,5%
