state,poll_type,sample_size,demographic,percentage,clinton,trump,other1,other2,other3
PA,Gender,2935,Male,47%,40%,57%,3%
PA,Gender,2935,Female,53%,55%,42%,3%
PA,Age,2935,18-29,16%,52%,43%,5%
PA,Age,2935,30-44,24%,53%,42%,5%
PA,Age,2935,45-64,38%,45%,52%,3%
PA,Age,2935,65 and older,21%,44%,54%,2%
PA,Age,2935,18-24,8%,50%,45%,5%
PA,Age,2935,25-29,8%,53%,40%,7%
PA,Age,2935,30-39,16%,54%,40%,6%
PA,Age,2935,40-49,17%,47%,49%,4%
PA,Age,2935,50-64,30%,45%,53%,2%
PA,Age,2935,65 and older,21%,44%,54%,2%
PA,Age,2935,18-44,40%,52%,42%,6%
PA,Age,2935,45 and older,60%,45%,53%,2%
PA,Race,2935,White,81%,40%,56%,4%
PA,Race,2935,Black,10%,92%,7%,1%
PA,Race,2935,Latino,6%,74%,22%,4%
PA,Race,2935,Asian,1%,N/A,N/A,N/A
PA,Race,2935,Other race,2%,N/A,N/A,N/A
PA,Race,2935,White,81%,40%,56%,4%
PA,Race,2935,Non-white,19%,81%,16%,3%
PA,Race and gender,2935,White men,38%,32%,64%,4%
PA,Race and gender,2935,White women,43%,47%,50%,3%
PA,Race and gender,2935,Black men,4%,83%,14%,3%
PA,Race and gender,2935,Black women,6%,99%,1%,N/A
PA,Race and gender,2935,Latino men,3%,N/A,N/A,N/A
PA,Race and gender,2935,Latino women,3%,82%,14%,4%
PA,Race and gender,2935,Others,3%,N/A,N/A,N/A
PA,Education,2935,High school or less,22%,43%,56%,1%
PA,Education,2935,Some college,30%,46%,49%,5%
PA,Education,2935,College graduate,29%,46%,50%,4%
PA,Education,2935,Postgraduate,19%,59%,37%,4%
PA,Are you a college graduate?,2935,Yes,48%,52%,45%,3%
PA,Are you a college graduate?,2935,No,52%,45%,52%,3%
PA,Education and race,2935,White college graduates,41%,48%,48%,4%
PA,Education and race,2935,Whites no degree,40%,32%,64%,4%
PA,Education and race,2935,Non-whites college grads,7%,75%,24%,1%
PA,Education and race,2935,Non-whites no degree,12%,86%,10%,4%
PA,Education among whites by sex,2935,White college-grad women,22%,55%,41%,4%
PA,Education among whites by sex,2935,White non-college women,21%,38%,58%,4%
PA,Education among whites by sex,2935,White college-grad men,18%,39%,56%,5%
PA,Education among whites by sex,2935,White non-college men,19%,26%,71%,3%
PA,Education among whites by sex,2935,Non-whites,19%,82%,15%,3%
PA,Income,2935,"Under $30,000",16%,56%,39%,5%
PA,Income,2935,"$30K-$49,999",22%,53%,44%,3%
PA,Income,2935,"$50K-$99,999",31%,41%,55%,4%
PA,Income,2935,"$100K-$199,999",21%,46%,51%,3%
PA,Income,2935,"$200K-$249,999",4%,N/A,N/A,N/A
PA,Income,2935,"$250,000 or more",6%,N/A,N/A,N/A
