state,poll_type,sample_size,demographic,percentage,clinton,trump,other1,other2,other3
TX,Gender,2827,Male,46%,37%,58%,5%
TX,Gender,2827,Female,54%,49%,48%,3%
TX,Age,2827,18-29,18%,55%,36%,7%,1%,1%
TX,Age,2827,30-44,29%,46%,48%,4%,1%,1%
TX,Age,2827,45-64,39%,39%,59%,2%,0%,N/A
TX,Age,2827,65 and older,15%,36%,64%,0%,0%,N/A
TX,Age,2827,18-24,10%,58%,32%,9%,1%,N/A
TX,Age,2827,25-29,8%,51%,41%,6%,1%,1%
TX,Age,2827,30-39,19%,46%,47%,4%,2%,1%
TX,Age,2827,40-49,20%,41%,55%,4%,0%,N/A
TX,Age,2827,50-64,28%,39%,59%,2%,1%,N/A
TX,Age,2827,65 and older,15%,36%,64%,0%,0%,N/A
TX,Age,2827,18-44,46%,49%,44%,5%,1%,1%
TX,Age,2827,45 and older,54%,38%,60%,2%,0%,N/A
TX,Race,2827,White,57%,26%,69%,5%
TX,Race,2827,Black,11%,85%,11%,4%
TX,Race,2827,Latino,24%,61%,34%,5%
TX,Race,2827,Asian,5%,73%,27%,N/A
TX,Race,2827,Other race,3%,N/A,N/A,N/A
TX,Race,2827,White,57%,26%,69%,5%
TX,Race,2827,Non-white,43%,67%,29%,4%
TX,Race and gender,2827,White men,27%,23%,72%,4%,1%,N/A
TX,Race and gender,2827,White women,30%,29%,66%,3%,1%,1%
TX,Race and gender,2827,Black men,4%,79%,14%,4%,2%,1%
TX,Race and gender,2827,Black women,6%,88%,9%,2%,1%,N/A
TX,Race and gender,2827,Latino men,11%,53%,41%,5%,1%,N/A
TX,Race and gender,2827,Latino women,13%,69%,28%,3%,1%,N/A
TX,Race and gender,2827,Others,8%,58%,40%,1%,1%,N/A
TX,Education,2827,High school or less,17%,49%,49%,2%
TX,Education,2827,Some college,32%,41%,55%,4%
TX,Education,2827,College graduate,34%,41%,53%,6%
TX,Education,2827,Postgraduate,17%,48%,48%,4%
TX,Are you a college graduate?,2827,Yes,51%,43%,52%,5%
TX,Are you a college graduate?,2827,No,49%,44%,53%,3%
TX,Education and race,2827,White college graduates,31%,31%,63%,5%,1%,N/A
TX,Education and race,2827,Whites no degree,26%,21%,76%,2%,1%,N/A
TX,Education and race,2827,Non-whites college grads,20%,62%,34%,3%,1%,N/A
TX,Education and race,2827,Non-whites no degree,23%,71%,25%,3%,1%,N/A
TX,Education among whites by sex,2827,White college-grad women,16%,35%,59%,4%,0%,2%
