state,poll_type,sample_size,demographic,percentage,clinton,trump,other1,other2,other3
UT,Gender,1203,Male,49%,25%,50%,19%,5%,0%,1%
UT,Gender,1203,Female,51%,34%,39%,22%,3%,1%,1%
UT,Age,1203,18-29,22%,31%,36%,25%,6%,1%,1%
UT,Age,1203,30-44,33%,31%,39%,23%,5%,1%,1%
UT,Age,1203,45-64,31%,31%,48%,18%,2%,1%,N/A
UT,Age,1203,65 and older,14%,21%,62%,15%,1%,N/A,1%
UT,Age,1203,18-24,13%,36%,36%,22%,6%,0%,N/A
UT,Age,1203,25-29,9%,24%,37%,30%,7%,2%,N/A
UT,Age,1203,30-39,23%,31%,36%,25%,5%,1%,2%
UT,Age,1203,40-49,17%,31%,50%,15%,2%,0%,2%
UT,Age,1203,50-64,23%,32%,45%,19%,2%,1%,1%
UT,Age,1203,65 and older,14%,21%,62%,15%,1%,N/A,1%
UT,Age,1203,18-44,55%,31%,38%,24%,5%,1%,1%
UT,Age,1203,45 and older,45%,28%,53%,17%,1%,0%,1%
UT,Race,1203,White,86%,25%,47%,22%,4%,1%,1%
UT,Race,1203,Black,0%,N/A,N/A,N/A,N/A,N/A,N/A
UT,Race,1203,Latino,9%,63%,24%,10%,1%,N/A,2%
UT,Race,1203,Asian,1%,N/A,N/A,N/A,N/A,N/A,N/A
UT,Race,1203,Other race,3%,N/A,N/A,N/A,N/A,N/A,N/A
UT,Race,1203,White,86%,25%,47%,22%,4%,1%,1%
UT,Race,1203,Non-white,14%,61%,25%,9%,3%,N/A,2%
UT,Race and gender,1203,White men,42%,21%,53%,21%,4%,0%,1%
UT,Race and gender,1203,White women,44%,29%,42%,24%,3%,1%,1%
UT,Race and gender,1203,Black men,0%,N/A,N/A,N/A,N/A,N/A,N/A
UT,Race and gender,1203,Black women,0%,N/A,N/A,N/A,N/A,N/A,N/A
UT,Race and gender,1203,Latino men,5%,N/A,N/A,N/A,N/A,N/A,N/A
UT,Race and gender,1203,Latino women,5%,N/A,N/A,N/A,N/A,N/A,N/A
UT,Race and gender,1203,Others,4%,N/A,N/A,N/A,N/A,N/A,N/A
UT,Education,1203,High school or less,12%,35%,51%,8%,3%,2%,1%
UT,Education,1203,Some college,36%,27%,51%,17%,3%,1%,1%
UT,Education,1203,College graduate,33%,27%,38%,29%,3%,0%,3%
UT,Education,1203,Postgraduate,18%,39%,35%,21%,5%,0%,N/A
UT,Are you a college graduate?,1203,Yes,51%,31%,37%,26%,4%,0%,2%
